English ;Polish
prime tower;wieża przygotowująca
print sequence;sekwencja wydruku
concentric infill;wypełnienie koncentryczne
vase mode;tryb wydruku wazonu
fuzzy skin;nierówna powierzchnia
interlocking depth of a segmented region;głębokość zazębiania segmentowanego obszaru
slicer profile;profil programu tnącego model
slicer;program przygotowujący (tnący) model do wydruku
minimum layer time;minimalny czas druku warstwy
Z-hop;skok w osi Z
linear advance;liniowa kompensacja
pressure advance;kompensacja ciśnienia
thermal runaway protection;zabezpieczenie przed niekontrolowaną zmianą temperatury
manual mesh leveling;ręczne poziomowanie siatki punktów
noise cancelation ;redukcja hałasu
vibration compensation;kompensacja wibracji
auto leveling;automatyczne poziomowanie
auto tune;automatyczne strojenie
resonance;rezonans
current;natężenie prądu
recover;przywracać
3D printing theory
additive manufacturing;produkcja addytywna
tolerance;tolerancja
homing;pozycjonowanie początkowe
build volume ;objętość drukowania
shrinkage;skurcz
multi-material printing;druk wielomateriałowy
filament diameter;średnica filamentu
build orientation;orientacja budowy
structural integrity;integralność strukturalna
tensile strength;wytrzymałość na rozciąganie
layer;warstwa
warping ;podwijanie
cartesian coordinates;współrzędne kartezjańskie
delta printer;drukarka o kinematyce delta
nozzle pressure;ciśnienie dyszy
flow dynamics;dynamika przepływu
kinematics;kinematyka
bed slinger;drukarka z ruchomym stołem
coreXY;drukarka z głowicą poruszającą się w osiach X, Y
bed adhesion;przyczepność stołu
surface;powierzchnia
extrusion;wytłaczanie
flow;przepływ
friction;tarcie
properties;właściwości
squeeze out;wyciskać
spatial;przestrzenny
replace;wymieniać
Materials, print quality
brittle;kruchy
reliability;niezawodność
accuracy;dokładność
biodegradable;biodegradowalny
conductivity;przewodność
fiber;włókno
brass;mosiądz
thermoplastic;termoplastyczny
stiff;sztywny
porosity;porowatość
flame-resistant;ognioodporny
ductile;ciągliwy
durable;trwały
efficient;efektywny
epoxy resin;żywica epoksydowa
erode;erodować
expand;rozszerzać
non-recyclable;nienadający się do przetworzenia
flexible;elastyczny
miscibility;mieszalność
permeability;przepuszczalność
flammable;łatwopalny
impermeable;nieprzepuszczalny
impurities;zanieczyszczenia
polished;wypolerowany
leak;przeciekać
melting point;temperatura topnienia
odorless;bezwonny
wear;zużycie
shearing force;siła ścinająca
viscosity;lepkość
Processing
processing;obróbka
casting;odlewanie
die casting;odlewanie ciśnieniowe
drill;wiercić
furnace;piec
inject;wtryskiwać
injection molding;formowanie wtryskowe
mold;forma
annealing;wyżarzanie
milling;frezowanie
polishing;polerowanie
sandblasting;piaskowanie
cnc machining;obróbka numeryczna
heat treatment;obróbka cieplna
sintering;spiekanie
surface finish;obróbka powierzchniowa
lathe;tokarka
grinding;szlifowanie
deburring;gratowanie
electroplating;galwanizacja
hardening;hartowanie
tempering;odpuszczanie
quenching;hartowanie przez chłodzenie
ultrasonic cleaning;czyszczenie ultradźwiękowe
vibratory finishing;obróbka wibracyjna
laser cutting;cięcie laserowe
water jet cutting;cięcie strumieniem wody
lapping;docieranie
buffing;polerowanie końcowe
reaming;rozwiercanie
blasting;śrutowanie
electrochemical machining;obróbka elektrochemiczna
plastic deformation;odkształcenie plastyczne
plating;powlekanie
plastering;tynkowanie
flame cutting;cięcie płomieniem
3D modeling 
vertex;wierzchołek
cross-section;przekrój
diameter;średnica
counterbore;faza otworu
chamfer;faza 
fillet;zaokrąglenie
dimension;wymiar
smoothing;wygładzanie
edge;krawędź
mesh;siatka
polygon;wielokąt
extrude;wyciągać
texture;tekstura
rendering;renderowanie
shader;moduł cieniujący
animation;animacja
topology;topologia
boolean operation;operacja boole'a
viewport;rzutnia
bump map;mapa wypukłości
ambient occlusion;zacienienie otoczenia
sculpting;rzeźbienie
subdivision surface;powierzchnia podziału
perspective view;widok perspektywiczny
pivot point;punkt obrotu
sketch;szkic
revolve;obrót
sweep;przeciągnięcie
loft;wyciągnięcie po profilach
rib;żebro
emboss;wytłoczenie
rectangular prism;prostopadłościan
thread;gwint
cube;sześcian
box;pudełko
cylinder;walec
sphere;sfera
torus;torus
coil;cewka
pipe;rura
pattern;wzorzec
mirror;odbicie
shell;powłoka
draft angle;kąt pochylenia
draft;pochylać
scale;skalować
combine;połączyć
offset face;przesunięcie powierzchni
split body;podział bryły
move;przenosić
align;wyrównywać
arrange;rozmieszczać
component;element
joint;złącze
rigid;sztywny
tangent;styczna
motion link;połączenie ruchu
motion study;analiza ruchu
bill of material;wykaz materiałów
parent;rodzic
midplane;środkowa płaszczyzna
trim;przycięcie
extend;rozszerzenie
stitch;zszywanie
assembly;złożenie
tessellate;podzielić na elementy skończone
flange;kołnierz
bend;zakrzywić
derive;pochodzić
rip;rozciąć
design;projektować
simulation;symulacja
drawing;rysunek
insert;wstawić
origin;punkt zerowy
appearance;wygląd
feature;cecha
