ADMISSIONS AND ENROLMENT
admissions;rekrutacja
Faculty Council;Rada Wydziału
institute;instytut
organisational unit;jednostka organizacyjna;organizational unit
Promotional Committee;Komisja ds. Promocji
Student Bursary Committee;Komisja stypendialna
Student Goverment of the Cracow University of Technology;Samorząd Studencki Politechniki Krakowskiej;SGCUT;Student Government of the Cracow University of Technology
student research group;koło naukowe
PEOPLE
assistant professor;adiunkt
associate dean;prodziekan
associate president;prorektor
associate professor;profesor nadzwyczajny
bachelor of arts;licencjat
bachelor of science;inżynier;bachelor of science in engineering
bursar;kwestor
chairperson;przewodniczący;chairman;chairwoman
co-ordinator;koordynator
dean;dziekan
deputy;zastępca
director of degree programme;kierownik studiów
faculty member;pracownik naukowy
graduate;absolwent;alumnus
head;kierownik
lecturer;wykładowca
master of arts;magister
master of science;magister inżynier;master of science in engineering
office hours;dyżur
Ph. D.;doktor
Ph. D. student;doktorant
Ph. D. with habilitation;doktor habilitowany
plenipotentiary;pełnomocnik
president of the university;rektor
professor;profesor
senior lecturer;starszy wykładowca
PLACES
canteen;bufet
cash window;okienko kasowe
centre;centrum;center
classroom;sala
cloakroom;szatnia
computer laboratory;pracownia informatyczna;computer lab
copy room;powielarnia (ksero)
dean's office;dziekanat
dormitory;akademik
faculty;wydział
financial division;sekcja finansowa
lecture hall;aula;lecture room
library;biblioteka
reception desk;portiernia
research centre;ośrodek;research center
research office;sekretariat naukowy
students' office;dziekanat studencki
STUDENT STATUS
completion of studies without defending the degree;absolutorium
conditional promotion;warunkowe zaliczenie roku
discontinuation;skreślenie ze studiów
discontinued;skreślony
exchange student;student wymiany
expelled;wydalony z uczelni
expulsion;wydalenie z uczelni
free mover;wolny słuchacz
guest student;student goszczący
leave of absence;urlop dziekański
promotion;zaliczenie roku (wpis na następny rok)
readmission;wznowienie
student number;numer albumu
transfer student;student z przeniesienia
STUDIES AND PROGRAMMES
certificate programme;studium podyplomowe
complementary studies;studia uzupełniające
curriculum;program studiów;porównać z sylabusem
degree programme;studia
doctoral studies;studia doktoranckie;Ph. D. studies
education area;obszar kształcenia
education programme;program kształcenia
education standards;standardy kształcenia
extramural studies;studia niestacjonarne zaoczne;sprawdzić czy wszędzie są studies
field of study;kierunek studiów
first-cycle studies;studia I stopnia
first-cycle studies diploma;dyplom ukończenia studiów pierwszego stopnia
full-time studies;studia stacjonarne
graduate studies;studia magisterskie
individual plan of studies;indywidualny tok studiów
individual programme of studies;indywidualny program studiów
interdisciplinary studies;studia międzykierunkowe
inter-faculty studies;studia międzywydziałowe
long-cycle studies;studia jednolite magisterskie
major;specjalność
part-time studies;studia niestacjonarne
plan of studies;plan studiów
post-graduate course;studium podyplomowe
programme minimum;minimum programowe
programme requirements;wymagania programowe
second-cycle studies;studia II stopnia
specialisation;specjalizacja;specialization
third-cycle studies;studia trzeciego stopnia
TIME
academic year;rok akademicki
biweekly;co dwa tygodnie
break;przerwa
fall semester;semestr zimowy
holidays;wakacje
recess;przerwa semestralna
semester;semestr
spring semester;semestr letni
summer semester;okres wakacyjny
year of study;rok studiów
OTHER
date of birth;data urodzenia
education outcomes;efekty kształcenia
education profile;profil kształcenia
first name;imię
identify;identyfikować
institution of higher education;uczelnia
National Qualification Framework for Higher Education;Krajowe Ramy Kwalifikacji dla Szkolnictwa Wyższego
public institution of higher education;publiczna uczelnia wyższa
recognition;uznanie
university;uniwersytet
FACULTIES
Faculty of Architecture;Wydział Architektury
Faculty of Chemical Engineering and Technology;Wydział Inżynierii i Technologii Chemicznej
Faculty of Civil Engineering;Wydział Inżynierii Lądowej
Faculty of Computer Science and Mathematics;Wydział Informatyki i Matematyki
Faculty of Electrical and Computer Engineering;Wydział Inżynierii Elektrycznej i Komputerowej
Faculty of Environmental Engineering and Energy;Wydział Inżynierii Środowiska i Energetyki
Faculty of Materials Engineering and Physics;Wydział Inżynierii Materiałowej i Fizyki
Faculty of Mechanical Engineering;Wydział Mechaniczny
OTHER UNITS (RESEARCH CENTRES)
Centre for Education and Organisation of Quality Maintenance Systems;Centrum Szkolenia i Organizacji Systemów Jakości;Center for Education and Organization of Quality Maintenance Systems
Foreign Language Centre;Studium Praktycznej Nauki Języków Obcych (Studium Języków obcych);Foreign Language Center!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
International Centre of Education;Międzynarodowe Centrum Kształcenia;International Center of Education
Library of the Cracow University of Technology(The Cracov University of Technology Library);Biblioteka Politechniki Krakowskiej;Library of the CUT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Pedagogy and Psychology Centre;Centrum Pedagogiki i Psychologii;Pedagogy and Psychology Center
Sports and Recreation Centre;Centrum Sportu i Rekreacji;Sports and Recreation Center
FACULTY OF ARCHITECTURE;Bartek
Chair of History of Architecture and Monument Preservation (Faculty of Architecture at Cracow Uniwersity of Technology;Katedra Historii Architektury i Konserwacji Zabytków;;na czerwono jest katedra ale bez tłumeczania;na żółto do zmiany 
Brak tłumaczenia;Katedra Historii Architektury i Ochrony Dziedzictwa Kulturowego;brak danych
Brak tłumaczenia;Katedra Historii Architektury, Urbanistyki i Sztuki Powszechnej
Institute of Architectural Design;Instytut Projektowania Architektonicznego
Brak tłumaczenia;Katedra Architektury Miejsc Pracy i Rekreacji;Katedra Architektury Miejsc Pracy, Sportu i Usług
Brak tłumaczenia;Zakład Architektury Użyteczności Publicznej
Brak tłumaczenia;Zakład Architektury Elementarnej;brak strony internetowej (aktualne posty na Fb)
Chair of Social and Public Building Design (tłumaczenie ze strony fb);Zakład Architektury Społeczno-Usługowej
Chair of Housing and Architectural Composition;Zakład Architektury Mieszkaniowej i Kompozycji Architektonicznej
Institute of Urban Design;Instytut Projektowania Urbanistycznego
Brak tłumaczenia;Katedra Kształtowania Środowiska Mieszkaniowego
Brak tłumaczenia;Zakład Przestrzeni Urbanistycznych;brak danych
Brak tłumaczenia;Zakład Kształtowania Przestrzeni Komunikacyjnych;brak danych
Brak tłumaczenia;Katedra Kompozycji Urbanistycznej;brak strony internetowej (aktualne posty na Fb)
Institute of Building Design;Instytut Projektowania Budowlanego
Brak tłumaczenia;Katedra Budownictwa Ogólnego i Materiałów Budowlanych;brak danych
Brak tłumaczenia;Katedra Konstrukcji i Technik Budowlanych;brak danych
Chair of Descriptive Geometry and Digital Techologies;Zakład Geometrii Wykreślnej i Technologii Cyfrowych;Katedra Geometrii Wykreślnej i Technologii Cyfrowych
Institute of City and Regional Planning;Instytut Projektowania Miast i Regionów;brak danych
Departmant of Spatial Planning, Urban Design and Rural Design ;Katedra Planowania Przestrzennego i Ochrony Środowiska;Katedra Planowania Przestrzennego, Projektowania Urbanistycznego i Ruralistycznego
Brak tłumaczenia;Zakład Odnowy Miast;brak danych
Brak tłumaczenia;Zakład Projektowania Obszarów Śródmiejskich;brak danych
Brak tłumaczenia;Zakład Architektury i Planowania Wsi;brak danych
Brak tłumaczenia;Zakład Rysunku, Malarstwa i Rzeźby;Katedra Rysunku, Malarstwa i Rzeźby 
Brak tłumaczenia;Instytut Architektury Krajobrazu;Katedra Architektury Krajobrazu
Brak tłumaczenia;Zakład Krajobrazu Otwartego i Budowli Inżynierskich;brak danych
Brak tłumaczenia;Zakład Kompozycji i Planowania Krajobrazu;brak danych
Brak tłumaczenia;Zakład Sztuki Ogrodowej i Terenów Zielonych;brak danych
FACULTY OF COMPUTER SCIENCE AND TELECOMMUNIACTIONS;Eliza
Brak tłumaczenia;Katedra Informatyki
Brak tłumaczenia;Katedra Matematyki Stosowanej
Brak tłumaczenia;Katedra Teleinformatyki
FACULTY OF ELECTRICAL AND COMPUTER ENGINEERING;Rafał
Institute of Electrical Engineering and Computer Science;Katedra Elektrotechniki Teoretycznej i Informatyki
Institute of Electromechanical Energy Conversion;Instytut Elektomechanicznych Przemian Energii
Department of Electrical Engineering Diagnostics;Katedra Diagnostyki Maszyn Elektrycznych;brak danych
Department of Automation Drives and Power Electronics;Zakład Automatyki Napędów i Energoelektroniki;brak danych
Laboratory of Equipment and Electrical Power Systems;Zakład Urządzeń i Systemów Elektroenergetycznych;brak danych
Brak tłumaczenia;Instytut Automatyki i Trakcji Elektrycznej;brak danych
Brak tłumaczenia;Katedra Automatyki i Informatyki
Department of Automation and Information Technologies;Instytut Automatyki i Trakcji Elektrycznej;brak danych
Brak tłumaczenia;Katedra Inżynierii Elektrycznej
Department of Traction and Traffic Control;Katedra Trakcji i Sterowania Ruchem;brak danych
FACULTY OF CIVIL ENGINEERING;Eliza
Reinforced Concrete Structures Division;Katedra Konstukcji Żelbetowych i Sprężonych
Chair of Building Materials Engineering;Katedra Inżynierii Materiałów Budowlanych
Chair of Bridge, Metal and Timber Structures;Katedra Konstrukcji Mostowych, Metalowych i Drewnianych
Chair of Building Design and Building Physics;Katedra Budownictwa Ogólnego i Fizyki Budowli
Chair of Roads, Railways and Traffic Engineering;Katedra Dróg, Kolei i Inżynierii Ruchu
Chair of Transportation Systems;Katedra Systemów Transportowych
Division of Management in Civil Engineering;Katedra Zarządzania w Budownictwie
Chair of Structural, Mechanics and Materials;Katedra Mechaniki Budowli i Materiałów
Chair of Geotechnics and Strength of Materials;Katedra Geotechniki i Wytrzymałości Materiałów
Chair for Computational Engineering;Katedra Technologii Informatycznych w Inżynierii
Construction Certification Center;Centrum Certyfikacji Budowlanej
Building Materials and Structures Research Laboratory;Laboratorium Badawcze Materiałów i Konstrukcji Budowlanych
Małopolska Energy Efficient Building Laboratory;Małopolskie Laboratorium Budownictwa Energooszczędnego
Wind Enigneering Laboratory;Laboratorium Inzynierii Wiatrowej
Deformations and Vibrations of Structures Laboratory;Laboratorium Badania Odkształceń i Drgań Budowli
FACULTY OF MATERIAL ENGINEERING AND PHYSICS;Bartek
Brak tłumaczenia;Katedra Inżynierii Materiałowej
Chair of physics;Katedra Fizyki
Brak tłumaczenia;Instytut Inżynierii Materiałowej;Katedra Inżynierii Materiałowej
Brak tłumaczenia;Zakład Materiałów Konstrukcyjnych i Geopolimerów
Brak tłumaczenia;Zakład Technologii Materiałów
Brak tłumaczenia;Katedra Metalurgii Proszków
Brak tłumaczenia;Instytut Fizyki;brak danych
Brak tłumaczenia;Katedra Struktury Materii
Brak tłumaczenia;Katedra Fizyki Materiałów
Brak tłumaczenia;Zespół Laboratoriów Dydaktycznych
Brak tłumaczenia;Laboratorium Metrologii Optycznej
FACULTY OF ENVIRONMENTAL AND POWER ENGINEERING;Rafał
Department of Geoengineering and Water Management;Katedra Geoinżynierii i Gospodarki Wodnej
Department of energy;Katedra Energetyki
Department of Water Supply, Sewerage and Environmental Monitoring;Katedra Wodociągów, Kanalizacji i Monitoringu Środowiska
Department of Environmental Technologies;Katedra Technologii Środowiskowych
Department of Thermal Processes, Air Protection and Waste Disposal;Katedra Procesów Cieplnych, Ochrony Powietrza i Utylizacji Odpadów
Brak tłumaczenia;Laboratorium Ogrzewnictwa, Wentylacji, Klimatyzacji i Chłodnictwa
FACULTY OF CHEMICAL ENGINEERING AND TECHNOLOGY;Rafał
Department of Chemical and Process Engineering;Katedra Inżynierii Chemicznej i Procesowej
Department of Polymer Chemistry and Technology ;Katedra Chemii i Technologii Polimerów
Department of Biotechnology and Physical Chemistry;Katedra Biotechnologii i Chemii Fizycznej
Institute of Inorganic Chemistry and Technology;Instytut Chemii i Technologii Nieorganicznej
Brak tłumaczenia;Zakład Chemii Organicznej
Brak tłumaczenia;Katedra Technologii Organicznej i Procesów Rafineryjnych;brak danych
Brak tłumaczenia;Katedra Technologii Nieorganicznej i Biotechnologii Środowiska;brak danych
Brak tłumaczenia;Zakład Chemii Analitycznej;brak danych
Brak tłumaczenia;Zakład Chemii Nieorganicznej;brak danych
FACULTY OF MECHANICAL ENGINEERING;Bartek;TU SKOŃCZYŁEM 
Brak tłumaczenia;Katedra Mechaniki Stosowanej i Biomechaniki
Brak tłumaczenia;Katedra Mechaniki Ciał Odkształcalnych;brak danych
Brak tłumaczenia;Zakład Dynamiki Układów Materialnych;brak danych
Brak tłumaczenia;Zakład Mechaniki Doświadczalnej i Biomechaniki;brak danych
Brak tłumaczenia;Zakład Mechaniki Ciał Stałych;brak danych
Brak tłumaczenia;Instytut Konstrukcji Maszyn;brak danych
Brak tłumaczenia;Instytut Pojazdów Samochodowych i Silników Spalinowych;brak danych
Brak tłumaczenia;Zakład Budowy i Eksploatacji Pojazdów Samochodowych;brak danych
Brak tłumaczenia;Zakład Silników Spalinowych i Mechatroniki;Instytut Pojazdów Samochodowych i Silników Spalinowych(brakt tłumaczenia)
Institute of Thermal and Process Engineering;Katedra Inżynierii Cieplnej i Procesowej
Brak tłumaczenia;Katedra Aparatury Przemysłowej i Mechaniki Płynów;Zespół Aparatury Przemysłowej i Mechaniki Płynów (Chair of Industrial Equipment and Fluid Mechanics)
Brak tłumaczenia;Laboratorium Termodynamiki i Pomiarów Maszyn Cieplnych;brak tłumaczenia
Brak tłumaczenia;Zakład Chłodnictwa i Klimatyzacji;brak tłumaczenia
Chair of Production Engineering;Katedra Inżynierii i Automatyzacji Produkcji
Division of Automated Manufacturing Systems;Zakład Zautomatyzowanych Systemów Produkcyjnych;Zespół Zautomatyzowanych Systemów Produkcyjnych(brak tłumaczenia)
Chair of Manufacturing Processes;Katedra Inżynierii Procesów Produkcyjnych;Zespół Projektowania Procesów Wytwarzania(brak tłumaczenia)
Chair of Machine and Machine Tool Technology;Katedra Technologii Maszyn i Narzędzi;Zespół Technologii Maszyn i Narzędzi(brak tłumaczenia)
Department of Processes Planning;Zakład Projektowania Procesów Wytwarzania;Zespół Projektowania Procesów Wytwarzania(Brak tłumaczenia)
Institute of Applied Informatics;Katedra Informatyki Stosowanej;(Department of Applied Computer Science)
Chair of the Biocybernetics and Fundamentals of Computer Science;Katedra Podstaw Informatyki i Biocybernetyki;Zespół Podstaw Informatyki(Basics of Computer Science Team)
Chair of Information Systems and Computer Modeling;Katedra Systemów Informatycznych i Modelowania Komputerowego;Zespół Systemów Informatycznych i Modelowania(Information Systems and Modeling Team)
Laboratory of Computational Methods;Pracownia Metod Obliczeniowych;Zespół Metod Obliczeniowych(Computational Methods Team)
Department of Software Engineering and Applied Statistics;Zakład Inżynierii Oprogramowania i Statystyki Stosowanej;(Zespół Analizy Danych i Statyki Stosowanej(Data Analysis and Applied Statistics Team)
Brak tłumaczenia;Instytut Pojazdów Szynowych;brak danych
Brak tłumaczenia;Zakład Budowy i Eksploatacji Pojazdów Szynowych;brak danych
Brak tłumaczenia;Zakład Systemów Logistycznych;brak danych
Laboratory of Coordinate Metrology;Laboratorium Metrologii Współrzędnościowej
Brak tłumaczenia;Laboratorium Badań Technoklimatycznych i Maszyn Roboczych
Brak tłumaczenia;Laboratorium Inżynierii Wzornictwa Przemysłowego
