Rozdzial;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
groundwater;wody gruntowe;;[sound:quizlet-16914793169-front.mp3];[sound:quizlet-16914793169-back.mp3];"<img src=""quizlet-4YZMvdlDv4RRuuNjhRZW-g.jpg"">"
harbour;port;;[sound:quizlet-16914793186-front.mp3];[sound:quizlet-16914793186-back.mp3];"<img src=""quizlet-EG2moG5hl8WjT5Q6Tg6m2A.jpg"">"
infrastructure;infrastruktura;;[sound:quizlet-16914797779-front.mp3];[sound:quizlet-16914797779-back.mp3];"<img src=""quizlet-ow6H5adOPRrvkfH9d1J0MA.jpg"">"
irrigation;nawadnianie;;[sound:quizlet-16914797798-front.mp3];[sound:quizlet-16914797798-back.mp3];"<img src=""quizlet-1fe43Qgf-RfZPHEulhiBIg.png"">"
isthmus;przesmyk;;[sound:quizlet-16914797802-front.mp3];[sound:quizlet-16914797802-back.mp3];"<img src=""quizlet-jiu8w1yBC2Cj9w8oUCPV9g.jpg"">"
lawn;trawnik;;[sound:quizlet-16914797830-front.mp3];[sound:quizlet-16914797830-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076642_200115_1332_40.jpg'>
marsh;bagno;Synonimy: swamp;[sound:quizlet-16914797862-front.mp3];[sound:quizlet-16914797862-back.mp3];"<img src=""quizlet-YlKVl3jFQNiKH3aPBZ53nA.jpg"">"
park;park;;[sound:quizlet-16914797931-front.mp3];[sound:quizlet-16914797931-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076475_200115_1356_17.jpg'>
parking lot;parking;Synonimy: parking, car park;[sound:quizlet-16914797932-front.mp3];[sound:quizlet-16914797932-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076476_200115_1348_45.jpg'>
patio;otwarty taras/patio;;[sound:quizlet-16914797933-front.mp3];[sound:quizlet-16914797933-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076477_200115_1334_32.jpg'>
pier;molo;;[sound:quizlet-16914797949-front.mp3];[sound:quizlet-16914797949-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376698_191229_1735_55.jpg'>
pollute;zanieczyszczać;;[sound:quizlet-16914807893-front.mp3];[sound:quizlet-16914807893-back.mp3];"<img src=""quizlet-yJzIz3Mkg.fvtl9t50ZfUA.jpg"">"
pollution;zanieczyszczenie;;[sound:quizlet-16914807894-front.mp3];[sound:quizlet-16914807894-back.mp3];"<img src=""quizlet-yJzIz3Mkg.fvtl9t50ZfUA.jpg"">"
public garden;zieleniec;;[sound:quizlet-16914807906-front.mp3];[sound:quizlet-16914807906-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076494_200115_1336_39.jpg'>
rail;szyna;;[sound:quizlet-16914807913-front.mp3];[sound:quizlet-16914807913-back.mp3];"<img src=""quizlet-ivGVJusoOV6dGHJDknf3qQ.jpg"">"
railway;tory kolejowe;Synonimy: railroad;[sound:quizlet-16914807915-front.mp3];[sound:quizlet-16914807915-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076402_200115_1350_46.jpg'>
seismicity;sejsmiczność;;[sound:quizlet-16914807969-front.mp3];[sound:quizlet-16914807969-back.mp3];"<img src=""quizlet-jx-dyFMiSHHqQWtJZiFGPA.jpg"">"
subduction;subdukcja;;[sound:quizlet-16914808039-front.mp3];[sound:quizlet-16914808039-back.mp3];"<img src=""quizlet-polmraxs2iHh-yCEsW5R3g.jpg"">"
subsoil;podłoże;Synonimy: substratum, basis, base;[sound:quizlet-16914808041-front.mp3];[sound:quizlet-16914808041-back.mp3];"<img src=""quizlet-8Bs850pG0zRw3s7F4Dkdog.jpg"">"
suburb;przedmieście;;[sound:quizlet-16914808042-front.mp3];[sound:quizlet-16914808042-back.mp3];"<img src=""quizlet-eaQ-UviT9xs0UAVgNybCVQ.jpg"">"
train station;dworzec kolejowy;Synonimy: railway station;[sound:quizlet-16914808069-front.mp3];[sound:quizlet-16914808069-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076099_200115_1354_07.jpg'>
underground;metro;Synonimy: subway, tube, metro;[sound:quizlet-16914808344-front.mp3];[sound:quizlet-16914808344-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075958_200115_1338_30.jpg'>
wharf;estakada;;[sound:quizlet-16914808359-front.mp3];[sound:quizlet-16914808359-back.mp3];"<img src=""quizlet-Nh8IqIcsdPQUGpaNkUczhg.png"">"
