Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
acroterion;akroterion;;[sound:quizlet-16914755285-front.mp3];[sound:quizlet-16914755285-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068531_191228_1606_54.jpg'>;Style, ornamenty, sztuka i historia
acrylic;akryl;;[sound:quizlet-16914755286-front.mp3];[sound:quizlet-16914755286-back.mp3];"<img src=""quizlet-Jx5HRYP5PhphB8uD5c3xxg.jpg"">";Materiały budowlane
acrylic paints;farby akrylowe;;[sound:quizlet-16914755287-front.mp3];[sound:quizlet-16914755287-back.mp3];"<img src=""quizlet-vL1rTCnYsvtPuGf.HupMdw.jpg"">";Wykończenia i detale
activity;czynność;Synonimy: action, function, work;[sound:quizlet-16914755288-front.mp3];[sound:quizlet-16914755288-back.mp3];"<img src=""quizlet-5d-tnI9FtmCDJOToyz9oUA.jpg"">";Proces budowlany
actuator;aparat;Synonimy: apparatus, camera;[sound:quizlet-16914755289-front.mp3];[sound:quizlet-16914755289-back.mp3];"<img src=""quizlet-Ny07vgY4mPovJWCfyZWb.w.png"">";Wyposażenie i wnętrza
acute angle;kąt ostry;;[sound:quizlet-16914755290-front.mp3];[sound:quizlet-16914755290-back.mp3];"<img src=""quizlet-N9mzakW9nnfHGpsKIetO0Q.png"">";Rysunek techniczny i wizualizacja
adaptor;adapter;;[sound:quizlet-16914755291-front.mp3];[sound:quizlet-16914755291-back.mp3];"<img src=""quizlet-3J9eU9Y8UlFcHs05WWszCw.jpg"">";Instalacje techniczne
additive;przyłączeniowy;;[sound:quizlet-16914755292-front.mp3];[sound:quizlet-16914755292-back.mp3];"<img src=""quizlet-ptgUj0vmuPc6SDZZwOv86A.png"">";Materiały budowlane
adhesion;przyczepność;Synonimy: adherence, adhesiveness, cohesion;[sound:quizlet-16914755293-front.mp3];[sound:quizlet-16914755293-back.mp3];"<img src=""quizlet-cukoknydvVmUfBeECMzWfQ.png"">";Materiały budowlane
adhesive;spoiwo;Synonimy: binder;[sound:quizlet-16914755294-front.mp3];[sound:quizlet-16914755294-back.mp3];"<img src=""quizlet-ojZ34GO2N_My07-C4o-pSA.jpg"">";Materiały budowlane
adjacent;sąsiadujący;;[sound:quizlet-16914755295-front.mp3];[sound:quizlet-16914755295-back.mp3];"<img src=""quizlet-cI1kbH9P71fKAWxN-da0eQ.png"">";Proces budowlany
adjoining property;sąsiednia własność;;[sound:quizlet-16914755296-front.mp3];[sound:quizlet-16914755296-back.mp3];"<img src=""quizlet-xWNsevEn4HTCsaCYhGiqnQ.png"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
administrative charges;opłaty administracyjne;;[sound:quizlet-16914755297-front.mp3];[sound:quizlet-16914755297-back.mp3];"<img src=""quizlet-4f2Lt0dkOSwjdNAjZvP52A.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
admixture;domieszka;;[sound:quizlet-16914755298-front.mp3];[sound:quizlet-16914755298-back.mp3];"<img src=""quizlet-pR.V0tpnYKg7nT5IcE8ryQ.jpg"">";Materiały budowlane
adsorption;adsorpcja;;[sound:quizlet-16914755299-front.mp3];[sound:quizlet-16914755299-back.mp3];"<img src=""quizlet-thipP-rO-cfvQJT35PU-bA.png"">";Materiały budowlane
advance;postęp;Synonimy: progress, progression, advancement;[sound:quizlet-16914755300-front.mp3];[sound:quizlet-16914755300-back.mp3];"<img src=""quizlet-rACDBPc2xkf5UKZqS6yjLg.jpg"">";Proces budowlany
adze;topór;Synonimy: ax, axe, hatchet;[sound:quizlet-16914755301-front.mp3];[sound:quizlet-16914755301-back.mp3];"<img src=""quizlet-yeU-OxOJr2pWuhsgXjulLw.jpg"">";Narzędzia i sprzęt
aeration;napowietrzanie;;[sound:quizlet-16914755302-front.mp3];[sound:quizlet-16914755302-back.mp3];"<img src=""quizlet-ea.BOPklWXLWbPvtFe-LjQ.jpg"">";Instalacje techniczne
aerial;antenowy;;[sound:quizlet-16914755303-front.mp3];[sound:quizlet-16914755303-back.mp3];"<img src=""quizlet-QJuyrH5Vo1OaB9uPXGJyWg.jpg"">";Instalacje techniczne
aerodynamics;aerodynamika;;[sound:quizlet-16914755304-front.mp3];[sound:quizlet-16914755304-back.mp3];"<img src=""quizlet-3i44jgUcqq2O5ceSZgcOdg.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
agency;agencja;;[sound:quizlet-16914755305-front.mp3];[sound:quizlet-16914755305-back.mp3];"<img src=""quizlet-5187470260_deef9eab00.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
agent;agent;;[sound:quizlet-16914755306-front.mp3];[sound:quizlet-16914755306-back.mp3];"<img src=""quizlet-J4o9rXzkNT69PBzpgAvmgA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
agglomerate;aglomerat;;[sound:quizlet-16914755307-front.mp3];[sound:quizlet-16914755307-back.mp3];"<img src=""quizlet-cWatp36g-5UCMmMoZh6LAA.jpg"">";Materiały budowlane
aggregate;agregat;;[sound:quizlet-16914755308-front.mp3];[sound:quizlet-16914755308-back.mp3];"<img src=""quizlet-w4vYeg4DIkOeXl.CRmpxpw.jpg"">";Materiały budowlane
air barrier;bariera powietrzna;;[sound:quizlet-16914755309-front.mp3];[sound:quizlet-16914755309-back.mp3];"<img src=""quizlet-mw2m2N7LerPrs0ARAEKjDw.png"">";Elementy konstrukcyjne
air conditioner;klimatyzator;Synonimy: ac;[sound:quizlet-16914755310-front.mp3];[sound:quizlet-16914755310-back.mp3];"<img src=""quizlet-iokCTOhzFDWMFMAaw9hu6g.jpg"">";Instalacje techniczne
air diffuser;dyfuzor powietrza;;[sound:quizlet-16914755311-front.mp3];[sound:quizlet-16914755311-back.mp3];"<img src=""quizlet-tgBW88xYDLpaQOFw1cjK0Q.png"">";Instalacje techniczne
air distribution;dystrybucja powietrza;;[sound:quizlet-16914755312-front.mp3];[sound:quizlet-16914755312-back.mp3];"<img src=""quizlet-1msQQtuyOMZQIQf.0DVqhw.jpg"">";Instalacje techniczne
air drain;odpływ powietrza;;[sound:quizlet-16914755313-front.mp3];[sound:quizlet-16914755313-back.mp3];"<img src=""air drain.jpg"">";Instalacje techniczne
air grille;kratka wentylacyjna;Synonimy: gable vent;[sound:quizlet-16914755314-front.mp3];[sound:quizlet-16914755314-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374446_200115_1305_15.jpg'>;Instalacje techniczne
air infiltration;infiltracja powietrza;;[sound:quizlet-16914755315-front.mp3];[sound:quizlet-16914755315-back.mp3];"<img src=""quizlet-2UrRcwelbEjoKU4rjxCUJA.jpg"">";Instalacje techniczne
air leakage;wyciek powietrza;;[sound:quizlet-16914755316-front.mp3];[sound:quizlet-16914755316-back.mp3];"<img src=""quizlet-VU9ockQXTm4NMiAtgDS-jw.jpg"">";Instalacje techniczne
air leakage rate;wskaźnik wycieku powietrza;;[sound:quizlet-16914755317-front.mp3];[sound:quizlet-16914755317-back.mp3];"<img src=""quizlet-VU9ockQXTm4NMiAtgDS-jw.jpg"">";Instalacje techniczne
air permeability;przepuszczalność powietrza;;[sound:quizlet-16914755318-front.mp3];[sound:quizlet-16914755318-back.mp3];"<img src=""quizlet-efkXJClppmdpDaqAoghxiQ.jpg"">";Instalacje techniczne
air quality;jakość powietrza;;[sound:quizlet-16914755319-front.mp3];[sound:quizlet-16914755319-back.mp3];"<img src=""quizlet-FCoFvrWcetNtH8Ysj0oVlw.jpg"">";Instalacje techniczne
air shaft;szyb powietrzny;;[sound:quizlet-16914755320-front.mp3];[sound:quizlet-16914755320-back.mp3];"<img src=""quizlet-2LtCZst7VkVVUn-Uv4h3SA.jpg"">";Instalacje techniczne
air space;przestrzeń powietrzna;;[sound:quizlet-16914755321-front.mp3];[sound:quizlet-16914755321-back.mp3];"<img src=""quizlet-MiW0C6HAlMB93HGv6Hw0tA.jpg"">";Instalacje techniczne
air terminal unit;terminal powietrzny;;[sound:quizlet-16914755322-front.mp3];[sound:quizlet-16914755322-back.mp3];"<img src=""quizlet-NCe34yyCOJYa0Lq45-qCRg.png"">";Instalacje techniczne
air vent;odpowietrznik;Synonimy: vent;[sound:quizlet-16914755323-front.mp3];[sound:quizlet-16914755323-back.mp3];"<img src=""quizlet-66.-B.8cJFYW379YSYwA-w.jpg"">";Instalacje techniczne
air-admittance valve;zawór powietrzny;Synonimy: air valve;[sound:quizlet-16914755324-front.mp3];[sound:quizlet-16914755324-back.mp3];"<img src=""quizlet-Zb6ywAo.d.7mOi7jxiHR3A.png"">";Instalacje techniczne
aircrete;beton komórkowy;;[sound:quizlet-16914755325-front.mp3];[sound:quizlet-16914755325-back.mp3];"<img src=""quizlet-nmKZghtTf4kGKE41fvAlVw.jpg"">";Materiały budowlane
airtightness;szczelność;Synonimy: tightness;[sound:quizlet-16914755326-front.mp3];[sound:quizlet-16914755326-back.mp3];"<img src=""quizlet-Lx2RF9k.oamHHxY7VUGavw.jpg"">";Elementy konstrukcyjne
aisle;nawa boczna;;[sound:quizlet-16914755327-front.mp3];[sound:quizlet-16914755327-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074366_200114_1617_41.jpg'>;Budynki
alarm;alarm;;[sound:quizlet-16914755328-front.mp3];[sound:quizlet-16914755328-back.mp3];"<img src=""quizlet-ikEBhEe7t62U0eSe.vjBLQ.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
alcove;alkierz;;[sound:quizlet-16914755329-front.mp3];[sound:quizlet-16914755329-back.mp3];"<img src=""quizlet--V-5ZDLTxR7EGDme.TJEow.jpg"">";Wyposażenie i wnętrza
algorithm;algorytm;;[sound:quizlet-16914755330-front.mp3];[sound:quizlet-16914755330-back.mp3];"<img src=""quizlet-06NL2MgcRbgG-5FbgElUDw.jpg"">";Rysunek techniczny i wizualizacja
alignment;wyrównanie;Synonimy: equalisation;[sound:quizlet-16914755331-front.mp3];[sound:quizlet-16914755331-back.mp3];"<img src=""quizlet-r3FPdEkiA-.NdD2806iMbw.jpg"">";Proces budowlany
aliquot;podwielokrotność;;[sound:quizlet-16914755332-front.mp3];[sound:quizlet-16914755332-back.mp3];"<img src=""quizlet-xCwTAM0-ZdU5U.AdSjSG8A.jpg"">";Pomiar i jednostki
alkali;alkalia;;[sound:quizlet-16914755333-front.mp3];[sound:quizlet-16914755333-back.mp3];"<img src=""quizlet-w6nzZfqS6JgMTyO6PyCj.A.jpg"">";Materiały budowlane
alkyd paint;farba alkidowa;;[sound:quizlet-16914755334-front.mp3];[sound:quizlet-16914755334-back.mp3];"<img src=""quizlet-uop85-bA8z1u9NZJwPplkQ.jpg"">";Wykończenia i detale
alkyd plastics;alkidowe tworzywa sztuczne;;[sound:quizlet-16914755335-front.mp3];[sound:quizlet-16914755335-back.mp3];"<img src=""quizlet-qnM9UvqIAqvc3DHOTmwT4Q.jpg"">";Materiały budowlane
alkyd resin;żywica alkidowa;;[sound:quizlet-16914755336-front.mp3];[sound:quizlet-16914755336-back.mp3];"<img src=""quizlet-O79f85850vxHDdAWRo-5hQ.png"">";Materiały budowlane
allotropy;alotropia;Synonimy: allotropism;[sound:quizlet-16914755337-front.mp3];[sound:quizlet-16914755337-back.mp3];"<img src=""quizlet-WWFiglEHLcif-2aL7C3ssg.jpg"">";Materiały budowlane
allowable;dopuszczalne;Synonimy: acceptable;[sound:quizlet-16914755338-front.mp3];[sound:quizlet-16914755338-back.mp3];"<img src=""quizlet-Yq2w5hXo5HtGFNwys5_ugA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
alloy;stop;;[sound:quizlet-16914755339-front.mp3];[sound:quizlet-16914755339-back.mp3];"<img src=""quizlet-yQ9R5-Ir4tn.g4PYzJ49vw.jpg"">";Materiały budowlane
alloy steel;stal stopowa;;[sound:quizlet-16914755340-front.mp3];[sound:quizlet-16914755340-back.mp3];"<img src=""quizlet-olr2vl7u71Cbkf4I6FLGjw.png"">";Materiały budowlane
alluvium;aluwium;;[sound:quizlet-16914755341-front.mp3];[sound:quizlet-16914755341-back.mp3];"<img src=""quizlet-55A3hIdyHKyUQAi9lfePmA.jpg"">";Materiały budowlane
altitude;wysokość;Synonimy: height, amount, level;[sound:quizlet-16914755342-front.mp3];[sound:quizlet-16914755342-back.mp3];"<img src=""quizlet-s7he1BEK641TPkGnkWilOQ.jpg"">";Pomiar i jednostki
aluminium;aluminium;;[sound:quizlet-16914755343-front.mp3];[sound:quizlet-16914755343-back.mp3];"<img src=""quizlet-oFvkY3Dy.qc8tXLWJgw3Eg.jpg"">";Materiały budowlane
aluminium roofing;pokrycie aluminiowe;;[sound:quizlet-16914755344-front.mp3];[sound:quizlet-16914755344-back.mp3];"<img src=""quizlet-i-C4LGIHFr4NdNcfx5X4lw.png"">";Wykończenia i detale
aluminium sulphate;siarczan glinu;;[sound:quizlet-16914755345-front.mp3];[sound:quizlet-16914755345-back.mp3];"<img src=""quizlet-AXI6EddF-P6PXO3pcsh9nw.png"">";Materiały budowlane
aluminium windows;okna aluminiowe;;[sound:quizlet-16914755346-front.mp3];[sound:quizlet-16914755346-back.mp3];"<img src=""quizlet-i4gJn3v-8ZPwVY3Zj88qaQ.jpg"">";Wykończenia i detale
ambient;otaczający;Synonimy: surrounding, circumfluent;[sound:quizlet-16914755347-front.mp3];[sound:quizlet-16914755347-back.mp3];"<img src=""quizlet-bM9Yal.9VpZf5Wu9JnjLzg.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
ambiguity;dwuznaczność;Synonimy: equivocation, prevarication;[sound:quizlet-16914755348-front.mp3];[sound:quizlet-16914755348-back.mp3];"<img src=""quizlet-n-GUpCWW-aWAMeNcgRwNgA.png"">";Proces budowlany
ambulatory;ambit;;[sound:quizlet-16914755349-front.mp3];[sound:quizlet-16914755349-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068533_200114_1617_18.jpg'>;Budynki
amendment;poprawka;Synonimy: correction, adjustment, rectification;[sound:quizlet-16914755350-front.mp3];[sound:quizlet-16914755350-back.mp3];"<img src=""quizlet-RRNULXUJf9ghmI5HRg8zhw.jpg"">";Proces budowlany
ammeter;amperomierz;Synonimy: amperemeter;[sound:quizlet-16914755351-front.mp3];[sound:quizlet-16914755351-back.mp3];"<img src=""quizlet-zufIiJ_c3QSugJ7SRI0Gfg.jpg"">";Instalacje techniczne
ammonia;amoniak;;[sound:quizlet-16914755352-front.mp3];[sound:quizlet-16914755352-back.mp3];"<img src=""quizlet-LdWIePSnxCQ_ntQflJGckw.jpg"">";Materiały budowlane
amorphous;bezpostaciowy, bezkształtny;Synonimy: formless, shapeless;[sound:quizlet-16914755353-front.mp3];[sound:quizlet-16914755353-back.mp3];"<img src=""quizlet-g.dqrY9LAOGKoY2kMhrYnA.jpg"">";Style, ornamenty, sztuka i historia
ampere;amper;;[sound:quizlet-16914755354-front.mp3];[sound:quizlet-16914755354-back.mp3];"<img src=""quizlet-wizSpuD5wRtwmmsnLJ.oBw.png"">";Pomiar i jednostki
amplifier;wzmacniacz;;[sound:quizlet-16914755355-front.mp3];[sound:quizlet-16914755355-back.mp3];"<img src=""quizlet-hnXX108tvJRnNxiOLuzyNw.jpg"">";Instalacje techniczne
amplitude;amplituda;;[sound:quizlet-16914755356-front.mp3];[sound:quizlet-16914755356-back.mp3];"<img src=""quizlet-99zzJyRFnl8nrc8csA4RtQ.png"">";Pomiar i jednostki
anaerobic;beztlenowy;;[sound:quizlet-16914755357-front.mp3];[sound:quizlet-16914755357-back.mp3];"<img src=""quizlet-Pz.Wb74wR26HQHQx0MHe3w.png"">";Materiały budowlane
analogue;analog;;[sound:quizlet-16914755358-front.mp3];[sound:quizlet-16914755358-back.mp3];"<img src=""quizlet-j-NPwpylNpWKX1-8IBh_7A.jpg"">";Instalacje techniczne
analysis;analiza;;[sound:quizlet-16914755359-front.mp3];[sound:quizlet-16914755359-back.mp3];"<img src=""quizlet-OTW.dsfDxqAugvqPQXtKZA.jpg"">";Proces budowlany
anchor;kotwica;Synonimy: anker;[sound:quizlet-16914755360-front.mp3];[sound:quizlet-16914755360-back.mp3];"<img src=""quizlet-y1DaP7QnEqwqW2yDwC6cQA.jpg"">";Elementy konstrukcyjne
anchorage;zamocowanie;;[sound:quizlet-16914755361-front.mp3];[sound:quizlet-16914755361-back.mp3];"<img src=""quizlet-0.t1.FLEmKYBuAMT83fhFw.jpg"">";Elementy konstrukcyjne
anemometer;wiatromierz;Synonimy: wind-gauge;[sound:quizlet-16914755362-front.mp3];[sound:quizlet-16914755362-back.mp3];"<img src=""quizlet-b1u7tBq-9NXZfrAVh_PECg.jpg"">";Narzędzia i sprzęt
angle gauge;kątomierz;;[sound:quizlet-16914755363-front.mp3];[sound:quizlet-16914755363-back.mp3];"<img src=""quizlet-T5NUtQZIkzlXr3W81zrZFQ.jpg"">";Narzędzia i sprzęt
angle grinder;szlifierka kątowa;;[sound:quizlet-16914755364-front.mp3];[sound:quizlet-16914755364-back.mp3];"<img src=""quizlet-bs5GhHVtIYrm3XTJVvfGzQ.jpg"">";Narzędzia i sprzęt
angle tile;płytka kątowa;;[sound:quizlet-16914755365-front.mp3];[sound:quizlet-16914755365-back.mp3];"<img src=""quizlet-BSSfh.FlVDX6xdVdubj96A.jpg"">";Wykończenia i detale
angle valve;zawór kątowy;;[sound:quizlet-16914755366-front.mp3];[sound:quizlet-16914755366-back.mp3];"<img src=""quizlet-g2Bj2W2Orp5j2PAPQazPOw.jpg"">";Instalacje techniczne
angled;pod kątem;;[sound:quizlet-16914755367-front.mp3];[sound:quizlet-16914755367-back.mp3];"<img src=""quizlet-VCpUIL6H.JA24UhAPEOFLA.png"">";Rysunek techniczny i wizualizacja
angular;kątowy;;[sound:quizlet-16914755368-front.mp3];[sound:quizlet-16914755368-back.mp3];"<img src=""quizlet-NXfhqyqY0p2GrVm7FuIA8g.jpg"">";Rysunek techniczny i wizualizacja
anhydrite;anhydryt;;[sound:quizlet-16914755369-front.mp3];[sound:quizlet-16914755369-back.mp3];"<img src=""quizlet-sfv4YcY3NGbCr-5YKiAvUg.jpg"">";Materiały budowlane
anhydrous;bezwodny;Synonimy: dry, waterless;[sound:quizlet-16914755370-front.mp3];[sound:quizlet-16914755370-back.mp3];"<img src=""quizlet-Hxy5tWBJk1Tq7fwRfY7XGQ.jpg"">";Materiały budowlane
anion;anion;;[sound:quizlet-16914755371-front.mp3];[sound:quizlet-16914755371-back.mp3];"<img src=""quizlet-xxjhyrjJ-ySH4b8SHmspCw.jpg"">";Materiały budowlane
anneal;żarzyć;;[sound:quizlet-16914755372-front.mp3];[sound:quizlet-16914755372-back.mp3];"<img src=""quizlet-n4e7WxqXYq7toq6c1atp6w.jpg"">";Materiały budowlane
annealing point;punkt wyżarzania;;[sound:quizlet-16914755373-front.mp3];[sound:quizlet-16914755373-back.mp3];"<img src=""quizlet-1k7.OJVXrlOnFKp3rsSLXA.jpg"">";Materiały budowlane
annular;pierścieniowy;Synonimy: ringed, ring-shaped;[sound:quizlet-16914755374-front.mp3];[sound:quizlet-16914755374-back.mp3];"<img src=""quizlet-m5HqQaRPAKsfPSy.7S4AEA.jpg"">";Elementy konstrukcyjne
annulet;szyjka;;[sound:quizlet-16914755375-front.mp3];[sound:quizlet-16914755375-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074370_191228_1600_44.jpg'>;Style, ornamenty, sztuka i historia
antefix;antefiks;;[sound:quizlet-16914755376-front.mp3];[sound:quizlet-16914755376-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068535_191228_1604_29.jpg'>;Style, ornamenty, sztuka i historia
anti-corrosive paints;farby antykorozyjne;;[sound:quizlet-16914755377-front.mp3];[sound:quizlet-16914755377-back.mp3];"<img src=""quizlet-EP1vq1B7PgFIcwd2Ey3F6w.png"">";Wykończenia i detale
anticline;antyklina;Synonimy: saddlebag;[sound:quizlet-16914755378-front.mp3];[sound:quizlet-16914755378-back.mp3];"<img src=""quizlet-HzV4kXNYlnSOPqnsDtiJPw.png"">";Elementy konstrukcyjne
apex;wierzchołek;Synonimy: top, vertex, peak;[sound:quizlet-16914755379-front.mp3];[sound:quizlet-16914755379-back.mp3];"<img src=""quizlet-GKtTMIXkYejyibIR2bGfRw.jpg"">";Elementy konstrukcyjne
applicator;aplikator;;[sound:quizlet-16914755380-front.mp3];[sound:quizlet-16914755380-back.mp3];"<img src=""quizlet-dsTjo709WzT.zfxImYhDYg.jpg"">";Narzędzia i sprzęt
approximate quantities;przybliżone ilości;Synonimy: approximate amounts;[sound:quizlet-16914755381-front.mp3];[sound:quizlet-16914755381-back.mp3];"<img src=""quizlet-Ci7k6QlRQ6jUZ-K2P5b8Bw.jpg"">";Proces budowlany
approximation;przybliżenie;;[sound:quizlet-16914755382-front.mp3];[sound:quizlet-16914755382-back.mp3];"<img src=""quizlet-Ci7k6QlRQ6jUZ-K2P5b8Bw.jpg"">";Proces budowlany
apse;apsyda;;[sound:quizlet-16914755383-front.mp3];[sound:quizlet-16914755383-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068536_200114_1616_35.jpg'>;Budynki
