Rozdzial;Instalacje techniczne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
air space;przestrzeń powietrzna;;[sound:quizlet-16914755321-front.mp3];[sound:quizlet-16914755321-back.mp3];"<img src=""quizlet-MiW0C6HAlMB93HGv6Hw0tA.jpg"">"
air terminal unit;terminal powietrzny;;[sound:quizlet-16914755322-front.mp3];[sound:quizlet-16914755322-back.mp3];"<img src=""quizlet-NCe34yyCOJYa0Lq45-qCRg.png"">"
air vent;odpowietrznik;Synonimy: vent;[sound:quizlet-16914755323-front.mp3];[sound:quizlet-16914755323-back.mp3];"<img src=""quizlet-66.-B.8cJFYW379YSYwA-w.jpg"">"
air-admittance valve;zawór powietrzny;Synonimy: air valve;[sound:quizlet-16914755324-front.mp3];[sound:quizlet-16914755324-back.mp3];"<img src=""quizlet-Zb6ywAo.d.7mOi7jxiHR3A.png"">"
ammeter;amperomierz;Synonimy: amperemeter;[sound:quizlet-16914755351-front.mp3];[sound:quizlet-16914755351-back.mp3];"<img src=""quizlet-zufIiJ_c3QSugJ7SRI0Gfg.jpg"">"
amplifier;wzmacniacz;;[sound:quizlet-16914755355-front.mp3];[sound:quizlet-16914755355-back.mp3];"<img src=""quizlet-hnXX108tvJRnNxiOLuzyNw.jpg"">"
analogue;analog;;[sound:quizlet-16914755358-front.mp3];[sound:quizlet-16914755358-back.mp3];"<img src=""quizlet-j-NPwpylNpWKX1-8IBh_7A.jpg"">"
angle valve;zawór kątowy;;[sound:quizlet-16914755366-front.mp3];[sound:quizlet-16914755366-back.mp3];"<img src=""quizlet-g2Bj2W2Orp5j2PAPQazPOw.jpg"">"
boiler;bojler;;[sound:quizlet-16914769531-front.mp3];[sound:quizlet-16914769531-back.mp3];"<img src=""quizlet-nBBeMwY0j9d0yK3lwNrJng.jpg"">"
cable;kabel;Synonimy: wire;[sound:quizlet-16914769572-front.mp3];[sound:quizlet-16914769572-back.mp3];"<img src=""quizlet-a6EOcSoqruvunIIym8PZDg.jpg"">"
cesspit;szambo;Synonimy: cesspool;[sound:quizlet-16914779118-front.mp3];[sound:quizlet-16914779118-back.mp3];"<img src=""quizlet-5WySvrLTQFbXdX.2qRvuUw.jpg"">"
circuit;obwód;Synonimy: girth;[sound:quizlet-16914779131-front.mp3];[sound:quizlet-16914779131-back.mp3];"<img src=""quizlet-iGnnVmCzV4vzckb4PeQ55w.jpg"">"
circulation;krążenie;;[sound:quizlet-16914779132-front.mp3];[sound:quizlet-16914779132-back.mp3];"<img src=""quizlet-j-Yf5SzCV61vaipFgtcrsg.jpg"">"
cistern;cysterna;Synonimy: vat, bullet tank;[sound:quizlet-16914779133-front.mp3];[sound:quizlet-16914779133-back.mp3];"<img src=""quizlet-uhptU9BQgtJMlevhzCr7PA.jpg"">"
coil;cewka;;[sound:quizlet-16914779146-front.mp3];[sound:quizlet-16914779146-back.mp3];"<img src=""quizlet-ASV8RmpFdtp6wc0VY62FXg.jpg"">"
compressor;kompresor;;[sound:quizlet-16914779164-front.mp3];[sound:quizlet-16914779164-back.mp3];"<img src=""quizlet-eFCGUEcGdYzR05bw4SXpTw.jpg"">"
condensation;kondensacja;;[sound:quizlet-16914779166-front.mp3];[sound:quizlet-16914779166-back.mp3];"<img src=""quizlet--RFvhgqHhyoPxj3Kih0eKg.jpg"">"
conduction;przewodzenie;;[sound:quizlet-16914779167-front.mp3];[sound:quizlet-16914779167-back.mp3];"<img src=""quizlet-jdrHWuelzBtd0IUbrf9qhw.png"">"
conductivity;przewodność;;[sound:quizlet-16914779168-front.mp3];[sound:quizlet-16914779168-back.mp3];"<img src=""quizlet-H8T6cyGONhunP9O7FdCGTA.jpg"">"
control valve;zawór kontrolny;;[sound:quizlet-16914779179-front.mp3];[sound:quizlet-16914779179-back.mp3];"<img src=""quizlet-3MjBREWtlvPRnPPvVJvnpQ.jpg"">"
convection;konwekcja;;[sound:quizlet-16914779181-front.mp3];[sound:quizlet-16914779181-back.mp3];"<img src=""quizlet-rWlvgJV7t62hbUfD0k_aPQ.jpg"">"
convector;konwektor;;[sound:quizlet-16914779182-front.mp3];[sound:quizlet-16914779182-back.mp3];"<img src=""quizlet-Hshg6QINSM2k.dwk-GOmRQ.png"">"
dechlorination;odchlorowanie;;[sound:quizlet-16914786285-front.mp3];[sound:quizlet-16914786285-back.mp3];"<img src=""quizlet-c-Ugyxua3ZUZA6pQVv6KzA.png"">"
diffuser;dyfuzor;;[sound:quizlet-16914786309-front.mp3];[sound:quizlet-16914786309-back.mp3];"<img src=""quizlet-vGC02xHvROotiE-81cZkIQ.png"">"
disinfection;dezynfekcja;;[sound:quizlet-16914786318-front.mp3];[sound:quizlet-16914786318-back.mp3];"<img src=""quizlet-z5kMHcvRSgove7G9kWznRQ.jpg"">"
drain tile;rura drenażowa;;[sound:quizlet-16914786341-front.mp3];[sound:quizlet-16914786341-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075055_200115_1251_56.jpg'>
drainpipe;rura odpływowa;;[sound:quizlet-16914786343-front.mp3];[sound:quizlet-16914786343-back.mp3];"<img src=""quizlet-WyEWagp5V6Hz4MqybxZ7JA.jpg"">"
effluent;odciek;;[sound:quizlet-16914793003-front.mp3];[sound:quizlet-16914793003-back.mp3];"<img src=""quizlet-qGFn2XNvrk5WTZM2avBl1g.jpg"">"
electric charge;ładunek elektryczny;;[sound:quizlet-16914793007-front.mp3];[sound:quizlet-16914793007-back.mp3];"<img src=""quizlet-OeUPwTYw1zbTkkfDq6Whbg.jpg"">"
electric current;prąd elektryczny;;[sound:quizlet-16914793008-front.mp3];[sound:quizlet-16914793008-back.mp3];"<img src=""quizlet-1ECjQFy6jxZEJWZ3eVio1w.jpg"">"
electric heating;ogrzewanie elektryczne;;[sound:quizlet-16914793010-front.mp3];[sound:quizlet-16914793010-back.mp3];"<img src=""quizlet-iGlpSyb-samgpoEd0mTb5Q.jpg"">"
electricity;elektryczność;;[sound:quizlet-16914793013-front.mp3];[sound:quizlet-16914793013-back.mp3];"<img src=""quizlet-8.qEY0QPgoIjXZY5sPLvuQ.jpg"">"
electrode;elektroda;;[sound:quizlet-16914793014-front.mp3];[sound:quizlet-16914793014-back.mp3];"<img src=""quizlet-ew6B6Ku799lWL6a03W0Cfw.png"">"
electrolyte;elektrolit;;[sound:quizlet-16914793015-front.mp3];[sound:quizlet-16914793015-back.mp3];"<img src=""quizlet-1TN-XCPBNdyfJbO8xUPQbA.png"">"
electromotive force;siła elektromotoryczna;;[sound:quizlet-16914793016-front.mp3];[sound:quizlet-16914793016-back.mp3];"<img src=""quizlet-gbxROZqg9alRZy4XhBTuFA.jpg"">"
electrostatic;elektrostatyczny;;[sound:quizlet-16914793018-front.mp3];[sound:quizlet-16914793018-back.mp3];"<img src=""quizlet-1K51lrzVoHlEUQgCE1TOlg.jpg"">"
equipotential;ekwipotencjalna;;[sound:quizlet-16914793045-front.mp3];[sound:quizlet-16914793045-back.mp3];"<img src=""quizlet-.gw5AcSON2SJNt-51uLCjQ.jpg"">"
fan;wentylator;;[sound:quizlet-16914793060-front.mp3];[sound:quizlet-16914793060-back.mp3];"<img src=""quizlet-1586819_8f92cee864.jpg"">"
filter;filtr;;[sound:quizlet-16914793067-front.mp3];[sound:quizlet-16914793067-back.mp3];"<img src=""quizlet-0-PDikfX50OQiDkgjtdV2g.jpg"">"
filtration;filtrowanie;;[sound:quizlet-16914793068-front.mp3];[sound:quizlet-16914793068-back.mp3];"<img src=""quizlet-mfKp3CnhKiPikdSGV5SDoQ.jpg"">"
flue;przewód kominowy;;[sound:quizlet-16914793092-front.mp3];[sound:quizlet-16914793092-back.mp3];"<img src=""quizlet-DGege5aDcDA1nmbrwju5Tg.jpg"">"
fresh-air filter;filtr świeżego powietrza;;[sound:quizlet-16914793113-front.mp3];[sound:quizlet-16914793113-back.mp3];"<img src=""quizlet-4J-2GS.UieAiP2175rI3zQ.png"">"
furnace;piec;;[sound:quizlet-16914793120-front.mp3];[sound:quizlet-16914793120-back.mp3];"<img src=""quizlet-UXj8IXiob5HtZULncfYE3g.jpg"">"
fuse board;tablica bezpieczników;;[sound:quizlet-16914793121-front.mp3];[sound:quizlet-16914793121-back.mp3];"<img src=""quizlet-A8xjjOhYT33LDRplaYlhOg.jpg"">"
galvanise;elektryzować;Synonimy: electrify;[sound:quizlet-16914793127-front.mp3];[sound:quizlet-16914793127-back.mp3];"<img src=""quizlet-x51nLPkJaJ3vkrov4Q.7qQ.jpg"">"
heating;ogrzewanie;;[sound:quizlet-16914793191-front.mp3];[sound:quizlet-16914793191-back.mp3];"<img src=""quizlet-QZ9E7PE2MIFS6.o7jNEtow.jpg"">"
ignition;zapłon;;[sound:quizlet-16914797763-front.mp3];[sound:quizlet-16914797763-back.mp3];"<img src=""quizlet-46FcblbVo-WLSk7eaXRagQ.jpg"">"
impeller;wirnik;Synonimy: rotor;[sound:quizlet-16914797766-front.mp3];[sound:quizlet-16914797766-back.mp3];"<img src=""quizlet-5m7Ie6TlUJnD7kdVzrmTJw.jpg"">"
induction;indukcja;;[sound:quizlet-16914797772-front.mp3];[sound:quizlet-16914797772-back.mp3];"<img src=""quizlet-o.0Kn80ACvj57GJY8NcbMA.png"">"
infiltration;infiltracja;;[sound:quizlet-16914797776-front.mp3];[sound:quizlet-16914797776-back.mp3];"<img src=""quizlet-eSS.S-GYG0G6YHU8So19dA.png"">"
inflow;napływ;Synonimy: influx, flow;[sound:quizlet-16914797778-front.mp3];[sound:quizlet-16914797778-back.mp3];"<img src=""quizlet-OVy.MMEQP.xGMf-otBRsBQ.jpg"">"
inlet;wlot;Synonimy: intake;[sound:quizlet-16914797782-front.mp3];[sound:quizlet-16914797782-back.mp3];"<img src=""quizlet-C1PT1n-EPuthjJn55QF-fg.jpg"">"
installation;instalacja;;[sound:quizlet-16914797786-front.mp3];[sound:quizlet-16914797786-back.mp3];"<img src=""quizlet-sUCBiQEUjKZfQQxOAooR0w.jpg"">"
insulate;izolować;;[sound:quizlet-16914797787-front.mp3];[sound:quizlet-16914797787-back.mp3];"<img src=""quizlet-P1oQHeyDMyxMJdntcNqoPw.jpg"">"
insulator;izolator;Synonimy: isolator;[sound:quizlet-16914797788-front.mp3];[sound:quizlet-16914797788-back.mp3];"<img src=""quizlet-OkgrhlUgiOB5XItqj7JgvA.png"">"
isolation;izolacja;Synonimy: insulating material;[sound:quizlet-16914797799-front.mp3];[sound:quizlet-16914797799-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376424_200115_1207_15.jpg'>
lighting conductor;piorunochron;;[sound:quizlet-16914797835-front.mp3];[sound:quizlet-16914797835-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076646_200115_1306_19.jpg'>
louvre board;wywietrznik;Synonimy: ventilator;[sound:quizlet-16914797847-front.mp3];[sound:quizlet-16914797847-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076655_191229_1741_58.jpg'>
magnetic field;pole magnetyczne;;[sound:quizlet-16914797853-front.mp3];[sound:quizlet-16914797853-back.mp3];"<img src=""quizlet-Z16ULOFyJdGcBKKoRPJ.5Q.png"">"
magnetisation;namagnesowanie;;[sound:quizlet-16914797854-front.mp3];[sound:quizlet-16914797854-back.mp3];"<img src=""quizlet-P1IRcmPlXoN.7taPsVrmSA.jpg"">"
pipe;rura;Synonimy: tube;[sound:quizlet-16914807878-front.mp3];[sound:quizlet-16914807878-back.mp3];"<img src=""quizlet-7QTUaO4y0qPeNYzkZTufzw.jpg"">"
pipeline;rurociąg;Synonimy: pipework, piping;[sound:quizlet-16914807879-front.mp3];[sound:quizlet-16914807879-back.mp3];"<img src=""quizlet-tPyWdNkFPYPwGsc.s5oO7A.jpg"">"
pneumatic;pneumatyczny;;[sound:quizlet-16914807890-front.mp3];[sound:quizlet-16914807890-back.mp3];"<img src=""quizlet-zDUHMTqamFKBfM-e0GST1g.jpg"">"
polarisation;polaryzacja;;[sound:quizlet-16914807892-front.mp3];[sound:quizlet-16914807892-back.mp3];"<img src=""quizlet-KMhvPwKLH5R5.JQ8niwY4A.png"">"
reducer;reduktor;;[sound:quizlet-16914807920-front.mp3];[sound:quizlet-16914807920-back.mp3];"<img src=""quizlet-qcckl9QMDAh.The81yCwAw.png"">"
reservoir;zbiornik;Synonimy: tank, container;[sound:quizlet-16914807925-front.mp3];[sound:quizlet-16914807925-back.mp3];"<img src=""quizlet-zIYE_IFT6YF2GrLb4I0rCg.jpg"">"
sensor;czujnik;Synonimy: gauge;[sound:quizlet-16914807972-front.mp3];[sound:quizlet-16914807972-back.mp3];"<img src=""quizlet-BsewIhBd0u0Y4ZxdxGpAKg.png"">"
silencer;tłumik;Synonimy: muffler, damper, suppressor;[sound:quizlet-16914807985-front.mp3];[sound:quizlet-16914807985-back.mp3];"<img src=""quizlet-DfuQvEJip.0Sb3.LYEiF6A.jpg"">"
valve;zawór;Synonimy: cutout;[sound:quizlet-16914808345-front.mp3];[sound:quizlet-16914808345-back.mp3];"<img src=""quizlet-86U6nZ0I7s7vj0PUST7cSw.jpg"">"
ventilation;wentylacja;;[sound:quizlet-16914808347-front.mp3];[sound:quizlet-16914808347-back.mp3];"<img src=""quizlet-RsXYw7UPdp3NaTG1P8eadg.jpg"">"
ventilator;wentylator;Synonimy: fan;[sound:quizlet-16914808348-front.mp3];[sound:quizlet-16914808348-back.mp3];"<img src=""quizlet-EyKD4LTecQwLY-DSv4eoDQ.jpg"">"
waterworks;wodociąg;Synonimy: water supply;[sound:quizlet-16914808356-front.mp3];[sound:quizlet-16914808356-back.mp3];"<img src=""quizlet-XNKE0e8u40QWTi8LWRiIqg.jpg"">"
