Rozdzial;Pomiar i jednostki
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
degree;stopień;Synonimy: grade;[sound:quizlet-16914786290-front.mp3];[sound:quizlet-16914786290-back.mp3];"<img src=""quizlet-d1l6ZS0jeeWUOxY-CgURJA.jpg"">"
density;gęstość;;[sound:quizlet-16914786297-front.mp3];[sound:quizlet-16914786297-back.mp3];"<img src=""quizlet-ZQyNIdbyFrGhkLihnjtzoQ.png"">"
depth;głębokość;;[sound:quizlet-16914786299-front.mp3];[sound:quizlet-16914786299-back.mp3];"<img src=""quizlet-thL2NKPK8pNSo4CTpkt3nA.jpg"">"
diameter;średnica;;[sound:quizlet-16914786307-front.mp3];[sound:quizlet-16914786307-back.mp3];"<img src=""quizlet-WSbJ63N3Ypd5tOtE0ln-Lg.jpg"">"
dimension;wymiar;;[sound:quizlet-16914786313-front.mp3];[sound:quizlet-16914786313-back.mp3];"<img src=""quizlet-NPDtiX3m1R408K1zuVRYBA.jpg"">"
diversity factor;współczynnik różnorodności;;[sound:quizlet-16914786324-front.mp3];[sound:quizlet-16914786324-back.mp3];"<img src=""quizlet-U-1FImGayqD.aXvf5tSmhw.jpg"">"
equal;równy;;[sound:quizlet-16914793041-front.mp3];[sound:quizlet-16914793041-back.mp3];"<img src=""quizlet-21Qu7gMNhcEOhPQ_Eh9xcA.jpg"">"
equivalent;odpowiednik;;[sound:quizlet-16914793046-front.mp3];[sound:quizlet-16914793046-back.mp3];"<img src=""quizlet-RVl76u7rrJZGx4QX2nhylQ.png"">"
fraction;frakcja;;[sound:quizlet-16914793106-front.mp3];[sound:quizlet-16914793106-back.mp3];"<img src=""quizlet-xY8XlZPLTaZMHJ8LxB7mWw.jpg"">"
frequency;częstotliwość;;[sound:quizlet-16914793111-front.mp3];[sound:quizlet-16914793111-back.mp3];"<img src=""quizlet-O0Le2JZKWdIlgK-iRf-VEw.jpg"">"
Gaussian distribution;rozkład Gaussa;;[sound:quizlet-16914793132-front.mp3];[sound:quizlet-16914793132-back.mp3];"<img src=""quizlet-TJSRtqXmyCT7wY6XOkddyA.png"">"
ground level;poziom ziemi;;[sound:quizlet-16914793167-front.mp3];[sound:quizlet-16914793167-back.mp3];"<img src=""quizlet-636vPX0loN1xaPKQ0iAJig.jpg"">"
intensity;intensywność;;[sound:quizlet-16914797789-front.mp3];[sound:quizlet-16914797789-back.mp3];"<img src=""quizlet-JId9COI-7zL97B2AXAB0og.png"">"
inverse;odwrotność;Synonimy: reciprocal;[sound:quizlet-16914797794-front.mp3];[sound:quizlet-16914797794-back.mp3];"<img src=""quizlet--2tu6g5XTpoTp73P4RfGLA.png"">"
measurement;pomiary;;[sound:quizlet-16914797871-front.mp3];[sound:quizlet-16914797871-back.mp3];"<img src=""quizlet-n8FhhCeGP0gEEvi-3dpfYg.jpg"">"
median;mediana;;[sound:quizlet-16914797872-front.mp3];[sound:quizlet-16914797872-back.mp3];"<img src=""quizlet-6H0QgJPu5Y7KM1V7463yEA.jpg"">"
meridian;południk;;[sound:quizlet-16914797875-front.mp3];[sound:quizlet-16914797875-back.mp3];"<img src=""quizlet-4TOrN6O.gRYQKobHO0CSWg.jpg"">"
permutation;permutacja;;[sound:quizlet-16914797944-front.mp3];[sound:quizlet-16914797944-back.mp3];"<img src=""quizlet-aFg1xJqb0Gvv9jvAtKZpAg.png"">"
pH value;wartość pH;;[sound:quizlet-16914797946-front.mp3];[sound:quizlet-16914797946-back.mp3];"<img src=""quizlet-c1PjiHDYbeaOvxfGqhesEw.png"">"
precision;precyzja;;[sound:quizlet-16914807902-front.mp3];[sound:quizlet-16914807902-back.mp3];"<img src=""quizlet-w9c1YM1xlIS-Py0ckGWqKw.jpg"">"
ratio;stosunek;;[sound:quizlet-16914807918-front.mp3];[sound:quizlet-16914807918-back.mp3];"<img src=""quizlet-LQqls0tFLdIQ-hSsxj0M2A.jpg"">"
