What’s a Linux user’s favorite soda? ;OpenCola ;M.J.U.
What does a Linux user say at the gym? ;Feel the burn, not the Windows ;K.Kow.
What’s a Linux user’s favorite pet? ;Cat, because it displays everything ;K.Kow.
Why don’t Linux users need a diary? ;Because they have logs ;K.Kow.
What do you call a Linux user at the beach? ;Sand-bash ;K.Kow.
Why don’t Linux users go camping? ;Because they hate bugs ;K.Kow.
Why did the Linux user keep checking his watch? ;He was worried about the cron jobs ;K.Kow.
What do you call a Linux user in the orchestra? ;A DISCO operator ;K.Kow.
Why did the Linux user go to the casino? ;To play the shell game ;K.Kow.
What’s a Linux user’s favorite horror movie? ;The Silence of the LANs ;K.Kow.
Why do Linux users prefer cats over dogs? ;Cats always land /root ;K.Kow.
What’s a Linux user’s favorite restaurant? ;The Fork Bomb Diner ;K.Kow.
Why do Linux users like to cook? ;Because they are good with handling different kernels ;K.Kow.
Why don’t Linux users need lightbulbs? ;They have enough brightnes’ in their terminals ;K.Kow.
What’s a Linux user’s favorite furniture? ;A command chair ;K.Kow.
Why did the Linux user go to the amusement park? ;To ride the roller-coster ;K.Kow.
What’s a Linux user’s favorite board game? ;The Game of Threads ;K.Kow.
What does a Linux user say when they mess up? ;Oops! Wrong shell ;K.Kow.
Why don’t Linux users play poker? ;Too many suits and not enough high cards ;K.Kow.
Why do Linux users love the sea? ;Because they enjoy surfing the Net ;K.Kow.
What does a Linux user do on a rainy day? ;Stay indoors and play with their Raspberry Pi ;K.Kow.
Why did the Linux user cross the road? ;To escape the Windows ;M.Św.
What does a Linux user drink on a hot day? ;Ice-tea ;M.Św.
What does a Linux user use to cut a pizza? ;A pizza cutter ;M.Św.
What’s a Linux user’s favorite day of the week? ;Mon ;M.Św.
Why do Linux users never get sunburnt? ;They always use a good Firewall ;M.Św.
What’s a Linux user’s favorite dessert? ;A Raspberry Pi ;M.Św.
What’s a Linux user’s favorite superhero? ;BAT-man ;M.Św.
Why don’t Linux users use paper maps? ;They prefer to navigate in the terminal ;M.Św.
What’s a Linux user’s favorite TV show? ;The Big Bash Theory ;M.Św.
Why don’t Linux users play chess? ;Because they’re afraid of forks ;M.Św.
What’s a Linux user’s favorite sport? ;Racing, because they always want to finish first ;D.Pi.
Why don’t Linux users need a doctor? ;Because they can diagnose themselves in the terminal ;D.Pi.
What’s a Linux user’s favorite color? ;Blue, like the Screen of Death they don’t get ;D.Pi.
What’s a Linux user’s favorite hobby? ;Fishing, they love phishing too ;D.Pi.
What’s a Linux user’s favorite planet? ;Mars, because it’s red like their hat ;D.Pi.
What do Linux users take with them to the bathroom? ;A flush drive ;D.Pi.
What’s a Linux user’s favorite winter activity? ;Sled ;D.Pi.
What’s a Linux user’s favorite fairytale? ;Little Red Hat ;D.Pi.
Why do Linux users like camping? ;They enjoy open source environments ;D.Pi.
Why don’t Linux users like mirrors? ;They always see a reflection of themselves, not a shadow ;D.Pi.
What’s a Linux user’s favorite ice cream? ;Vanilla, because they love basic flavors ;W.Pa
What does a Linux user bring on a trip? ;A suitcase full of various distros ;W.Pa
Why do Linux users love Halloween? ;They get to masquerade all they want ;W.Pa
What does a Linux user call a sunburn? ;A bad kernel ;W.Pa
Why don’t Linux users like playing cards? ;They always seem to have a bad hand ;W.Pa
What’s a Linux user’s favorite ghost story? ;The Phantom of the Opera-ting System ;W.Pa
Why did the Linux user go to the concert? ;To see the Rolling Stones ;W.Pa
What’s a Linux user’s favorite shape? ;A circle, because it’s 360 degrees, just like a full circle update ;W.Pa
What do Linux users wear to a wedding? ;A tux ;W.Pa
Why are Linux users terrible at cooking? ;They’re always trying to serve Pages ;W.Pa
Why don’t Linux users fear darkness? ;Because they find Light in the Dark theme ;A.Ni
What’s a Linux user’s favorite novel? ;War and Peace, with the emphasis on PC;A.Ni
Duck in router;It always goes NAT, NAT, NAT;A.Ni
Unix or Linux sysadmin’s favourite hangout place;Foo Bar;A.Ni
What kind of doctor fixes broken websites?;A URLologist;A.Ni
Why did the Linux user quit their job?;Because they didn’t want to work in a proprietary environment!;A.Ni
Why do Linux users prefer the terminal?;Because the GUI is just a distraction from the real power! ;A.Ni
Why don’t Linux users use antivirus software?;Because they trust their permissions to keep the viruses out! ;A.Ni
Why do Linux developers hate meetings?;They’d rather git commit than sit and talk! ;A.Ni
Why was the Linux machine so confident?;It had an uptime of 10 years and no regrets!;A.Ni
