lobe;a portiong of a organ/gland (e.g. lobes of the lungs) ;(płat (np. płucny));;;;(płat (np. płucny))
tarsus;the seven bones composing the ankle joint;(staw skokowy);;;;(staw skokowy)
fetal;relating to the fetus;(płodowy);;;;(płodowy)
perilymph;the fluid between the membranous and bony fragments of the inner ear;(perilimfa);;;;(perilimfa)
lymphocytes;white blood cells;(limfocyty, białe krwinki);;;;(limfocyty, białe krwinki)
popliteal;relating to the area behind the knee;(podkolanowy);;;;(podkolanowy)
ossification;the process of changing into bone ;(kostnienie, tworzenie się kości);;;;(kostnienie, tworzenie się kości)
digital pulp;a soft tissue on a palmar finger;(opuszek palca);;;;(opuszek palca)
acetabulum;the cup-shaped cavity at the base of the hipbone ;(panewka (np. biodrowa));;;;(panewka (np. biodrowa))
parotid;near the ear;(przyuszny);;;;(przyuszny)
cerebrovascular;relating to the blood supply to the brain;(naczyniowo-mózgowy);;;;(naczyniowo-mózgowy)
foramen caecum;a blind opening;(otwór ślepy);cecal foramen ;;;(otwór ślepy)
caecum ;the large blind pocket forming the beginning of the large intestine;(jelito ślepe);cecum;;;(jelito ślepe)
musculoskeletal system;all of the muscles, bones, joints, and related structures;(układ mięśniowo-szkieletowy);;;;(układ mięśniowo-szkieletowy)
cochlea;a spiral tube shaped like a snail shell, forming part of the inner ear;(ślimak (część ucha wewnętrznego));;;;(ślimak (część ucha wewnętrznego))
deferent duct;a duct that carries spermatozoa;(nasieniowód);;;;(nasieniowód)
ligament ;a band of fibrous tissue connecting bones or cartilages;(więzadło (wzmacniające połączenia między kośćmi));ligamentum ;;;(więzadło (wzmacniające połączenia między kośćmi))
perineal;relating to the perineum;(kroczowy);;;;(kroczowy)
cancellate ;having a lattice-like or spongy structure;(gąbczasty);cancellated;cancellous;;(gąbczasty)
dental alveolus;a tooth socket;(zębodół);;;;(zębodół)
artery;a vessel through which the blood passes away from the heart to various parts of the body ;(tętnica, naczynie tętnicze);;;;(tętnica, naczynie tętnicze)
lamellar ;relating to the lamella;(blaszkowy, płytkowy);lamellate ;lamellated;lamellose;(blaszkowy, płytkowy)
hamstring;the muscles of the posterior thigh;(ścięgno udowe);;;;(ścięgno udowe)
clitoris;the small, elongated, erectile body in the female;(łechtaczka);;;;(łechtaczka)
birth canal ;the passage through which the young of mammals pass during birth;(kanał porodowy);;;;(kanał porodowy)
tubercular;relating to the tubercle ;(guzkowy);;;;(guzkowy)
sensorimotor;combining the functions of the sensosory and motor activities;(czuciowo-ruchowy);;;;(czuciowo-ruchowy)
dermatome;an area of skin supplied by sensory fibers from a single spinal nerve ;(obszar skóry unerwiony przez jeden korzeń nerwowy);;;;(obszar skóry unerwiony przez jeden korzeń nerwowy)
labium;a lip or lip-shaped anatomical structure ;(warga);;;;(warga)
hilar;relating to the hilum;(wnękowy);;;;(wnękowy)
phrenic ;relating to the diaphragm;(przeponowy);;;;(przeponowy)
epiglottis ;leaf-like piece of cartilage which prevents the airway from receiving any food or liquid being swallowed;(nagłośnia (część krtani));;;;(nagłośnia (część krtani))
intra;within;(wewnątrz);;;;(wewnątrz)
dendrite;one of the two types of branching processes of the nerve cell;(dendryt);dendron;;;(dendryt)
vortex of heart;a spiral arrangement on the top of the heart;(wir serca);;;;(wir serca)
sinuses;the air cavities around the nose;(zatoki);;;;(zatoki)
nerve fibre ;the component of the nerve;(włókno nerwowe);;;;(włókno nerwowe)
hip;the part of the body between the waist and the thigh;(biodro);;;;(biodro)
retina;the innermost layer of the eyeball;(siatkówka);;;;(siatkówka)
glossopharyngeal ;relating to the tounge and pharyx;(językowo-gardłowy);;;;(językowo-gardłowy)
macula lutea;yellowish depression on the retina, receives and analyzes light only from the center of the visual field;(plamka żółta (na siatkówce oka));;;;(plamka żółta (na siatkówce oka))
ossicle;a small bone;(kostka);;;;(kostka)
nuclear;relating to the nucleus;(jądrowy);;;;(jądrowy)
sulcus;a shallow depression on the surface of an organ;(bruzda);;;;(bruzda)
sphincter;a muscle ring that narrows or closes off the passageway;(zwieracz (mięsień));;;;(zwieracz (mięsień))
incisors;the four teeth adapted for cutting;(siekacze);;;;(siekacze)
cephalic;relating to the head;(głowowy, czaszkowy);;;;(głowowy, czaszkowy)
pituitary gland;an endocrine gland in the brain that controls other endocrine glands;(przysadka mózgowa);;;;(przysadka mózgowa)
dolichocephaly ;having a disproportionately long head;(długogłowie);dolichocephalism;;;(długogłowie)
enteron;gastrointestinal duct;(przewód pokarmowy);;;;(przewód pokarmowy)
jejunal ;relating to the jejunum;(dotyczący jelita czczego);;;;(dotyczący jelita czczego)
malleus ;the outermost and largest of the three ossicles of the ear;(młoteczek (kostka słuchowa));;;;(młoteczek (kostka słuchowa))
coeliac trunk;abdominal aorta just below diaphragm;(pień trzewny);celiac trunk;;;(pień trzewny)
desmoid;resembling a tendon or ligament;(włóknisty);;;;(włóknisty)
tonsil;the oval mass on each side of the throat;(migdałek (w gardle));;;;(migdałek (w gardle))
seminal;relatin to the semen ;(nasienny, spermowy);;;;(nasienny, spermowy)
pericardium;the fibroserous sac enclosing the heart ;(osierdzie (błona surowicza serca));;;;(osierdzie (błona surowicza serca))
viscerocranium;the facial skeleton;(trzewioczaszka);;;;(trzewioczaszka)
vestigial;relating to the vestige;(szczątkowy (organ));;;;(szczątkowy (organ))
ox heart ;a very large heart caused by overgrown ventricle ;(serce wole (z przerośniętą lub poszerzoną lewą komorą));;;;(serce wole (z przerośniętą lub poszerzoną lewą komorą))
epicardial;relating to the epicardium;(dotyczący nasierdzia);;;;(dotyczący nasierdzia)
quadriceps;muscle having four head;(mięsień czworogłowy);;;;(mięsień czworogłowy)
diaphragm;the main respiratory muscle ;(przepona);;;;(przepona)
right heart;the right ventricle and the right atrium;(prawa połowa serca (prawa komora i przedsionek));;;;(prawa połowa serca (prawa komora i przedsionek))
acromion;the highest point of the shoulder to which the collarbone is attached;(wypustek barkowy łopatki);;;;(wypustek barkowy łopatki)
lung;either of two large organs lying within the chest cavity that supply the blood with oxygen;(płuco);;;;(płuco)
bloodstream;the flow of blood through the circulatory system of an organism;(krwiobieg);;;;(krwiobieg)
serous membrane ;a membrane that secretes a serous fluid covering the organ;(błona surowicza);serosa;;;(błona surowicza)
limbic;relating to the limbus;(limbiczny);;;;(limbiczny)
knuckle joint ;a joint of a finger when the fist is closed;(staw śródręczno-paliczkowy);;;;(staw śródręczno-paliczkowy)
intercostal nerve;the nerve situated between the ribs;(nerw międyżebrowy);;;;(nerw międyżebrowy)
respiratory;relating to the respiration ;(oddechowy, płucny);;;;(oddechowy, płucny)
shoulder girdle ;a partial arch at the top of the trunk;(obręcz barkowa);pectoral girdle;;;(obręcz barkowa)
floating kidney;the abnormally mobile kindney that is displaced and movable;(nerka wędrująca);;;;(nerka wędrująca)
ligamental;relating to the ligament;(więzadłowy);ligamentary;ligamentous;;(więzadłowy)
glandule;a small gland;(mały gruczoł);;;;(mały gruczoł)
vascularised;supplied with vessels;( unaczyniony);;;;( unaczyniony)
ampulla;saccular dilations of a canal or duct;(brodawki);;;;(brodawki)
involucre;a coat, covering ;(ochewka, torebka);;;;(ochewka, torebka)
ensiform ;sword-shaped;(mieczykowaty);;;;(mieczykowaty)
mesentery;the double layer containing blood vessels supporting abdominal organs;(krezka);;;;(krezka)
sublingual ;below the tongue;(podjęzykowy);;;;(podjęzykowy)
solar plexus;a dense network of nerve fibers in the centre of abdomen, important in the control of the function of the liver, stomach, kidneys and adrenal glands;(splot słoneczny);;;;(splot słoneczny)
corneocyte;the sort of keratin-filled  dead cells of the outer layer of epidermis;(korneocyt);;;;(korneocyt)
neuron;the basic nerve cel of the nervous system;(neuron);;;;(neuron)
red blood cells ;erythrocytes;(czerwone krwinki);;;;(czerwone krwinki)
cartilage;a specialized, fibrous connective tissue;(chrząstka);;;;(chrząstka)
inferior ;situated below or directed downward ;(dolny);;;;(dolny)
thoracic vertebrae;the middle segment of the vertebral column;(kręgi piersiowe);;;;(kręgi piersiowe)
semen;fluid ejaculated from the male, seed;(sperma, nasienie);;;;(sperma, nasienie)
diencephalon ;the ‘between brain’ area;(międzymózgowie);interbrain;;;(międzymózgowie)
lymphatic;relating to the lymph;(limfatyczny);;;;(limfatyczny)
cutis;skin;(skóra);;;;(skóra)
exoskeleton ;a hard structure formed on the outside of the body;(szkielet zewnętrzny);;;;(szkielet zewnętrzny)
cavity;a hollow or space, or a potential space, within the body or one of its organs;(jama ciała);;;;(jama ciała)
condyle;the rounded surface at the end of a bone ;(kłykieć);;;;(kłykieć)
laryngeal ;relating to the larynx;(krtaniowy);laryngal;;;(krtaniowy)
sclera;the thick white layer of the eye;(twardówka);;;;(twardówka)
uterine cervix;the narrow end of the uterus that opens into the vagina;(szyjka macicy);;;;(szyjka macicy)
blood vessel ;any channel that carries blood;(naczynie krwionośne);;;;(naczynie krwionośne)
browridge;the bone above the eye;(łuk brwiowy);;;;(łuk brwiowy)
craniology;the scientific study of the characteristics of the skull, such as size and shape, especially in humans;(kraniologia);;;;(kraniologia)
nail bed ;the layer on which the nail rests;(macierz paznokcia);;;;(macierz paznokcia)
endocardium;the inner wall of the heart muscle, which also covers the heart valves ;(wsierdzie);;;;(wsierdzie)
meningeal;relating to the meninx;(oponowy);;;;(oponowy)
bregma ;meeting place on the skull of the two structures ;(łbisko (część czaszki));;;;(łbisko (część czaszki))
vitreous;glasslike;(szklisty (np. o oczach));;;;(szklisty (np. o oczach))
ventricle;a small cavity (e.g. in the heart);(komora (np. serca));;;;(komora (np. serca))
corticospinal;relating to the cerebral cortex and the spinal cord;(korowo-rdzeniowy);;;;(korowo-rdzeniowy)
left brain;the left hemisphere of brain, controlling the right side of the body;(lewa półkula mózgu);;;;(lewa półkula mózgu)
stratified;having layers;(warstwowy);;;;(warstwowy)
iris;the pigmented membrane on the eye;(tęczówka);;;;(tęczówka)
nucleus ;the central core of the body;(jądro);;;;(jądro)
adducent;bringing toward;(przywodzący (o mięśniu));;;;(przywodzący (o mięśniu))
biceps brachii ;the muscle in the front of the upper arm;(mięsień dwugłowy ramienia);;;;(mięsień dwugłowy ramienia)
fiber;an elongated, threadlike structure;(włókno);;;;(włókno)
supraclavicular;above the clavicle ;(nadobojczykowy);;;;(nadobojczykowy)
acinus;a small saclike dilation (of a compound gland);(pęcherzyk (gruczołu złożonego));;;;(pęcherzyk (gruczołu złożonego))
colon;the large intestine extending from the cecum to the rectum ;(okrężnica);;;;(okrężnica)
amygdala;an almond-shaped component of the limbic system in the brain;(ciało migdałowate);;;;(ciało migdałowate)
yoke bone;a bone that forms a cheek;(kość jarzmowa);;;;(kość jarzmowa)
levator ;a muscle that elevates an organ or structure;(dźwigacz, mięsień dźwigacz);levator muscle;;;(dźwigacz, mięsień dźwigacz)
cingulum;a structure that has the form of a belt ;(obręcz);;;;(obręcz)
clitoral ;relating to clitoris;(łechtaczkowy);clitoric;;;(łechtaczkowy)
involuntary muscle;the smooth muscle;(mięsień gładki);;;;(mięsień gładki)
blind gut ;the first part of the large intestine/gut;(jelito ślepe, kątnica);;;;(jelito ślepe, kątnica)
lower limb;the leg (with hip, thigh, ankle and foot);(dolna kończyna);;;;(dolna kończyna)
cementum;the bonelike substance covering the tooth;(cement zęba, kostniwo (swoista kość pokrywająca korzeń zęba));;;;(cement zęba, kostniwo (swoista kość pokrywająca korzeń zęba))
fontanel ;a membranous space at the margin of the cranial bones;(ciemiączko);fontanelle;;;(ciemiączko)
eyetooth ;in dentistry: either of the two canine teeth in the upper jaw;(górny kieł);;;;(górny kieł)
masseter;the major jaw muscle;(żwacz);;;;(żwacz)
brainpan;the skull, braincase;(czaszka);;;;(czaszka)
exoskeletal;relating to the exoskeleton;(dotyczący szkieletu zewnętrznego);;;;(dotyczący szkieletu zewnętrznego)
brachium ;arm;(ramię);;;;(ramię)
proximal ;the nearest;(bliższy, sąsiedni);;;;(bliższy, sąsiedni)
relapse;the return of disease;(nawrót choroby);;;;(nawrót choroby)
clavicle;collarbone, a long curved, horizontal bone directly above the first rib;(obojczyk);;;;(obojczyk)
radiation;the emission of Energy, rays or waves;(promieniowanie);;;;(promieniowanie)
cubitus;elbow;(łokieć);;;;(łokieć)
pectoral ;relating to the chest;(piersiowy (dotyczący klatki piersiowej));thoracic ;;;(piersiowy (dotyczący klatki piersiowej))
ischium;the interior portion of the hip bone;(kość kulszowa);;;;(kość kulszowa)
sigmoid colon ;the distal part of the colon ;(esica);;;;(esica)
submandibular ;below the mandible;(podżuchwowy);;;;(podżuchwowy)
myocardium;the middle layer of the heart, composed of cardiac muscle ;(mięsień sercowy);;;;(mięsień sercowy)
ischial ;relating to the ischium;(kulszowy);;;;(kulszowy)
corpuscle;any small mass or body;(krwinka, ciałko);;;;(krwinka, ciałko)
basilar;relating to, or located at or near the base, especially the base of the skull;(dotyczący podstawy czaszki);basilary;;;(dotyczący podstawy czaszki)
membranous ;błoniasty;(membranaceous);;;;(membranaceous)
adductor;a muscle that draws a part toward the midline;(przywodziciel (mięsień));;;;(przywodziciel (mięsień))
shoulder joint;a ball-and-socket joint between the arm and the scapula ;(staw barkowy);;;;(staw barkowy)
mucosa;the mucous layer;(śluzówka, błona śluzowa);;;;(śluzówka, błona śluzowa)
collarbone;clavicle;(obojczyk);;;;(obojczyk)
gall bladder;"a small pouchlike organ located beneath the liver; responsible for storing bile and secreting it into the small intestine";(pęcherzyk żółciowy);gallbladder;;;(pęcherzyk żółciowy)
distal;situated farthest from the centre ;(dystalny);;;;(dystalny)
mitral valve;the cardiac valve between the left atrium and left ventricle ;(zastawka mitralna, zastawka dwudzielna);bicuspid valve;;;(zastawka mitralna, zastawka dwudzielna)
thigh;the area between the pelvis and the knee;(udo);;;;(udo)
carpus;the wrist;(nadgarstek, napięstek);;;;(nadgarstek, napięstek)
muscle fibre;muscle cell;(włókno mięśniowe);;;;(włókno mięśniowe)
heel;the posterior part of the foot;(pięta);;;;(pięta)
subclavian;below the clavicle ;(podobojczykowy);;;;(podobojczykowy)
spinal nerves;the nerves connected to the spinal cord;(nerwy kręgowe);;;;(nerwy kręgowe)
semitendinosus;the posterior thigh muscle;(mięsień półścięgnisty);;;;(mięsień półścięgnisty)
receptor;cell or group of nerve endings that responds to sensory stimul;(receptor);;;;(receptor)
entrails ;the internal organs;(wnętrzności);viscera;;;(wnętrzności)
rhinencephalon ;the part of the brain concerned with smell;(węchomózgowie);;;;(węchomózgowie)
Achilles tendon;the fibrous cord that connects the muscles of the calf to the heelbone;(ścięgno Achillesa);;;;(ścięgno Achillesa)
caecal;relating to the cecum;(kątniczy);;;;(kątniczy)
crus;"a leglike part; leg";(goleń);;;;(goleń)
metacarpus;the part of the hand between the wrist and the fingers;(śródręcze);;;;(śródręcze)
cilia;the eyelashes or the tiny, hair-like projections from a cell;(rzęski);;;;(rzęski)
jugal bone;a bone that forms a cheek;(kość jarzmowa);;;;(kość jarzmowa)
risorius;a facial muscle used when smiling widely;(mięsień śmiechowy);;;;(mięsień śmiechowy)
patella ;the bone covering the anterior surface of the knee;(rzepka (kość));knee pan;;;(rzepka (kość))
renal;relating to the kidneys;(nerkowy);;;;(nerkowy)
fenestra cochleae;round windo, a round opening in the inner ear;(okienko okrągłe (część ucha));;;;(okienko okrągłe (część ucha))
femoral artery;the main artery of thigh;(tętnica udowa);;;;(tętnica udowa)
cerebral hemisphere;either of the two symmetrical halves of the brain;(półkula mózgowa);;;;(półkula mózgowa)
ankle joint;the joint between the leg and foot;(staw skokowy);;;;(staw skokowy)
osteogenesis;the formation of bone;(kostnienie, tworzenie się kości, osteogeneza);;;;(kostnienie, tworzenie się kości, osteogeneza)
infracostal;below the rib;(podżebrowy);;;;(podżebrowy)
atlas ;the first cervical vertebra  ;(pierwszy krąg szyjny);;;;(pierwszy krąg szyjny)
anterior tibial ;the front of the leg below the knee ;(część przednia piszczela);;;;(część przednia piszczela)
larynx;the organ of voice production;(krtań);;;;(krtań)
ear canal;the passage through which sound enters the ear;(przewód słuchowy zewnętrzny);;;;(przewód słuchowy zewnętrzny)
sacrum;triangular bone at the base of the spine;(kość krzyżowa);;;;(kość krzyżowa)
Fallopian tube ;a passage through which ova leave the maternal body;(jajowód);oviduct;;;(jajowód)
scoliosis;side curvature of the spine;(skrzywienie boczne, skolioza);;;;(skrzywienie boczne, skolioza)
pituitary ;relating to the pituitary gland;(przysadkowy);;;;(przysadkowy)
smooth muscle;a muscle that contracts without voluntary control;(mięsień gładki);;;;(mięsień gładki)
circumvallate papilla; one of the large, dome-shaped structures located at the back of the tongue, arranged in a V-shape, containing taste buds that are especially sensitive to bitter tastes;(brodawki okolne);;;;(brodawki okolne)
auditory ossicles;any of the three bones of the middle ear: malleus, incus, and stapes.;(kosteczki słuchowe);;;;(kosteczki słuchowe)
pudenda;the external genitalia;(narządy płciowe zewnętrzne);;;;(narządy płciowe zewnętrzne)
limbus;a border, margin;(obwódka, brzeg);;;;(obwódka, brzeg)
valve;a membranous fold in a passage that prevents backward flow of material passing through it;(zastawka);;;;(zastawka)
caudal;relating to the tail;(ogonowy);;;;(ogonowy)
parietal bone ;one of two bones forming the sides and roof of the cranium;(kość ciemieniowa);;;;(kość ciemieniowa)
meninx;one of the membranous coverings of the brain;(opona mózgowo-rdzeniowa);;;;(opona mózgowo-rdzeniowa)
free margin;unattached edge;(wolny brzeg (budowa palca));;;;(wolny brzeg (budowa palca))
dimerism;consisting of two parts;(dwuczłonowość);;;;(dwuczłonowość)
kneepan;the bone covering the anterior surface of the knee;(rzepka);;;;(rzepka)
deltoid muscle ;the muscular cap of the shoulder;(mięsień naramienny);;;;(mięsień naramienny)
nose ;the face organ of the smell, responsible also of bringing the air into respiratory duct;(nos);;;;(nos)
nasal cavity ;the part of respiratory tract within the nose;(jama nosowa);;;;(jama nosowa)
basal ganglion;a structure at the base of the brain composed of four groups of nerve cells, responsible for body movements and coordination;(zwój podstawy mózgu);;;;(zwój podstawy mózgu)
lymph node;a small body that supply lymphocytes to the bloodstream and remove bacteria from the lymph;(węzeł limfatyczny, węzeł chłonny);;;;(węzeł limfatyczny, węzeł chłonny)
labiate;having lips/liplike part ;(wargowy (posiadający wargi));;;;(wargowy (posiadający wargi))
hallux ;the first digit of the foot;(paluch);;;;(paluch)
nasofrontal;relating to the nose and the forehead;(nosowo-czołowy);;;;(nosowo-czołowy)
middle constrictor;the muscle located in the neck;(zwieracz środkowy gardła);;;;(zwieracz środkowy gardła)
metacarpal;relating to the metacarpus;(śródręczny);;;;(śródręczny)
epiphysis ;the end of a long bone;(nasada kości);;;;(nasada kości)
central incisor;any of the four anterior teeth in each jaw, used for cutting ;(środkowy siekacz);;;;(środkowy siekacz)
genitourinary ;pertaining to the genital and urinary organs;(moczowo-płciowy);;;;(moczowo-płciowy)
aortic arch;the curving part of the aorta;(łuk aorty);;;;(łuk aorty)
glomerule;a small tuft of blood capillaries in the kidney, responsible for filtering out waste products;(kłębuszek);glomerulus ;;;(kłębuszek)
pivot joint ;a joint responsible for a rotary movement;(staw obrotowy);;;;(staw obrotowy)
excretory system;a biological system that removes unnecessary materials from the organism  ;(układ wydalniczy);;;;(układ wydalniczy)
sphenoid bone;a wing-like bone a the base of the skull;(kość klinowa);;;;(kość klinowa)
pronator;a muscle that turns a part into the prone position;(nawracacz (mięsień));;;;(nawracacz (mięsień))
ectopic;located away from the normal position;(przemieszczony);;;;(przemieszczony)
acoustic meatus;the external or internal canal of the ear;(przewód słuchowy);;;;(przewód słuchowy)
ileum ;the farther portion of the intestine;(jelito kręte);;;;(jelito kręte)
egestive;excretive;(wydalniczy);;;;(wydalniczy)
fibula;the outer and smaller of the two bones of the leg;(kość strzałkowa, strzałka);peroneal bone;;;(kość strzałkowa, strzałka)
yawn;to involuntary open the mouth to inhale/exhale O2/CO2;(ziewać);;;;(ziewać)
anal;relating to the anus;(odbytniczy);;;;(odbytniczy)
Eustachian tube;a tube that connects the middle ear to the back of the throat;(trąbka Eustachiusza, trąbka słuchowa (kanał łączący ucho środkowe z gardłem));;;;(trąbka Eustachiusza, trąbka słuchowa (kanał łączący ucho środkowe z gardłem))
testicle ;the male gonad;(jądro (u mężczyzny));testis;;;(jądro (u mężczyzny))
ankle bone;the bone between the leg and foot;(kość skokowa);;;;(kość skokowa)
tricuspid valve;the three-segmented valve of the heart;(zastawka trójdzielna);;;;(zastawka trójdzielna)
frontal bone;the bone at the anterior part of the skull;(kość czołowa);;;;(kość czołowa)
hair follicle;a small sac from which the hair arises;(mieszek włosa);;;;(mieszek włosa)
biceps femoris;one of the hamstring muscles in the back of the thigh;(mięsień dwugłowy uda);;;;(mięsień dwugłowy uda)
lumbar;relating to the lower part of the back;(lędźwiowy);;;;(lędźwiowy)
endomorph;the person of a round, smoothly contoured, soft type of body with the body mass concentrated in the abdomen and chest;(endomorfik);;;;(endomorfik)
glabella;the smooth area between the eyebrows just above the nose;(gładzizna, gładyszka);;;;(gładzizna, gładyszka)
antrum;a cavity or chamber;(jama, zatoka);;;;(jama, zatoka)
vulva;the external genital organ in female;(srom);;;;(srom)
rima;a narrow, elongated opening between two parts;(szpara, otwór);;;;(szpara, otwór)
autonomic nervous system;the branch of the nervous system that works without conscious control;(autonomiczny układ nerwowy);;;;(autonomiczny układ nerwowy)
trunk ;the main part of the body ;(tułów (część ciała));;;;(tułów (część ciała))
veinule;a small vein;(żyłka);;;;(żyłka)
spleen;a large lymphoid organ lying to the left of the stomach, responsible for storeing and filtering blood and to produce lymphocytes;(śledziona);;;;(śledziona)
glossal;relating to the tounge;(językowy);;;;(językowy)
otic ;relating to the ear;(uszny);;;;(uszny)
trigeminal nerve;the largest of cranial nerves, essential for the act of chewing and sensibility of the face;(nerw trójdzielny);;;;(nerw trójdzielny)
abdominal rectus;the straight muscle of the abdomen;(mięsień prosty brzucha);;;;(mięsień prosty brzucha)
antebrachium ;the forearm;(przedramię);;;;(przedramię)
calcaneum;the heel bone;(kość piętowa);calcaneus ;;;(kość piętowa)
respiratory tract ;the air passages inside the organism;(drogi oddechowe);;;;(drogi oddechowe)
neural arch ;the bony arch of the vertebrae;(łuk kręgowy);vertebral arch;;;(łuk kręgowy)
dilator;a muscle that dilates;(mięsień rozwieracz);dilater;dilator muscle;;(mięsień rozwieracz)
auditory canal;either of two passages of the ear (internal/external);(przewód słuchowy);auditory meatus;;;(przewód słuchowy)
right coronary artery ;the artery that feeds the heart muscle;(prawa tętnica wieńcowa);RCA;;;(prawa tętnica wieńcowa)
meniscus;the fibrous cartilage in the knee ;(łąkotka (element stawu kolanowego));;;;(łąkotka (element stawu kolanowego))
axilla;the armpit;(pacha);;;;(pacha)
uterus;an organ for containing and nourishing the embryo and fetus;(macica);;;;(macica)
bally;a thumb (Northern English);(kciuk (Północna Anglia));;;;(kciuk (Północna Anglia))
intervertebral disc;a disc located between vertebrae ;(krążek międzykręgowy);;;;(krążek międzykręgowy)
adrenal ;the collection of cells located near or above each  kidney;(nadnercze (gruczoł dokrewny));adrenal gland;;;(nadnercze (gruczoł dokrewny))
umbilical cord ;the structure connecting fetus with the placenta;(pępowina);navel-string ;;;(pępowina)
erogenous;causing erotic feelings;(erogenny);;;;(erogenny)
endometrium;the mucous membrane lining the uterus;(endometrium, błona śluzowa macicy);;;;(endometrium, błona śluzowa macicy)
articular ;relating to a joint;(stawowy);;;;(stawowy)
Azygos vein;a vein lying in the right part of the back chest;(żyła nieparzysta);;;;(żyła nieparzysta)
corpus luteum;a yellow, progesterone-secreting mass of cells;(ciałko żółte);;;;(ciałko żółte)
respiration;breathing;(oddychanie);;;;(oddychanie)
wrist;the joint between the hand and the forearm;(nadgarstek);;;;(nadgarstek)
anthelix;the semicircular ridge on the ear;(grobelka);;;;(grobelka)
athletic heart ;Enlargement of the heart observed in some athletes;(serce atlety (z przerostem));;;;(serce atlety (z przerostem))
neck;the part of the body that connects the head with the trunk ;(szyja);;;;(szyja)
suprarenal ;above the kidney;(nadnerczowy);;;;(nadnerczowy)
auricle;the projecting part of the ear lying outside the head ;(małżowina uszna);;;;(małżowina uszna)
ureter;a duct that carries urine from the kidney to the urinary bladder ;(moczowód);;;;(moczowód)
central nervous system ;the portion of the nervous system consisting of the brain and spinal cord ;(ośrodkowy układ nerwowy);CNS;;;(ośrodkowy układ nerwowy)
jejunum;the part of the small intestine;(jelito czcze);;;;(jelito czcze)
ulnar artery; the large artery supplying muscles in the forearm, wrist, and hand;(tętnica łokciowa);;;;(tętnica łokciowa)
glans penis;the cup-shaped structure at the end of the penis;(żołądź prącia);;;;(żołądź prącia)
heel bone ;the largest bone forming the end of the heel;(kość piętowa);;;;(kość piętowa)
thoracolumbar;relating to the thoracic and lumbar nerves;(piersiowo-lędźwiowy);;;;(piersiowo-lędźwiowy)
ciliate;having cilia;(urzęsienie);;;;(urzęsienie)
follicular;relating to the follicle ;(mieszkowy);;;;(mieszkowy)
diaphysis;the main (mid) section of a bone;(trzon (kości));;;;(trzon (kości))
interscapular;between the scapulae ;(międzyłopatkowy);;;;(międzyłopatkowy)
nausea;a feeling of sickness with a tendency to vomit;(mdłości);;;;(mdłości)
ciliary;relating to the cilia;(rzęsowy);;;;(rzęsowy)
mandible;the U-shaped bone forming the lower jaw;(żuchwa);;;;(żuchwa)
hyaloid ;glassy in appearance;(szklisty);;;;(szklisty)
paranasal sinuses;the air cavities around the nose;(zatoki przynosowe);;;;(zatoki przynosowe)
