absorption tube;a tube filled with a solid absorbent and used to absorb gases and vapors
dubnium;a synthetic chemical element with symbol Db and atomic number 105
seaborgium;a synthetic chemical element with symbol Sg and atomic number 106
bohrium;a synthetic chemical element with symbol Bh and atomic number 107
hassium;a synthetic chemical element with symbol Hs and atomic number 108
meitnerium;a synthetic chemical element with symbol Mt and atomic number 109
darmstadtium;a synthetic chemical element with symbol Ds and atomic number 110
roentgenium;a chemical element with symbol Rg and atomic number 111
copernicium;a synthetic chemical element with symbol Cn and atomic number 112
nihonium;a synthetic chemical element with symbol Nh and atomic number 113
flerovium;a superheavy artificial chemical element with symbol Fl and atomic number 114
moscovium;a synthetic chemical element with symbol Mc and atomic number 115
livemorium;a synthetic chemical element with symbol Lv and atomic number 116
tennessine;a synthetic chemical element with symbol Ts and atomic number 117
oganesson;a synthetic chemical element with symbol Og and atomic number 118
carbon;a chemical element with symbol C and atomic number 6
cerium;a chemical element with symbol Ce and atomic number 58
cesium;a chemical element with symbol Cs and atomic number 55
chlorine;a chemical element with symbol Cl and atomic number 17
chromium;a chemical element with symbol Cr and atomic number 24
cobalt;a chemical element with symbol Co and atomic number 27
copper;a chemical element with symbol Cu and atomic number 29
curium;a transuranic radioactive chemical element with symbol Cm and atomic number 96
dysprosium;a chemical element with symbol Dy and atomic number 66
einsteinium;a synthetic element with symbol Es and atomic number 99
erbium;a chemical element with symbol Er and atomic number 68
europium;a chemical element with symbol Eu and atomic number 63
fermium;a synthetic element with symbol Fm and atomic number 100
fluorine;a chemical element with symbol F and atomic number 9
francium;a chemical element with symbol Fr and atomic number 87
gadolinium;a chemical element with symbol Gd and atomic number 64
gallium;a chemical element with symbol Ga and atomic number 31
gold;a chemical element with symbol Au and atomic number 79
germanium;a chemical element with symbol Ge and atomic number 32
hafnium;a chemical element with symbol Hf and atomic number 72
helium;a chemical element with symbol He and atomic number 2
holmium;a chemical element with symbol Ho and atomic number 67
hydrogen;a chemical element with symbol H and atomic number 1
indium;a chemical element with symbol In and atomic number 49
iodine;a chemical element with symbol I and atomic number 53
iridium;a chemical element with symbol Ir and atomic number 77
iron;a chemical element with symbol Fe and atomic number 26
krypton;a chemical element with symbol Kr and atomic number 36
lanthanum;a chemical element with symbol La and atomic number 57
lawrencium;a synthetic chemical element with symbol Lr and atomic number 103
lead;a chemical element with symbol Pb and atomic number 82
lithium;a chemical element with symbol Li and atomic number 3
magnesium;a chemical element with symbol Mg and atomic number 12
manganese;a chemical element with symbol Mn and atomic number 25
mendelevium;a synthetic element with chemical symbol Md and atomic number 101
mercury;a chemical element with symbol Hg and atomic number 80
molybdenum;a chemical element with symbol Mo and atomic number 42
neodymium;a chemical element with symbol Nd and atomic number 60
neon;a chemical element with symbol Ne and atomic number 10
neptunium;a chemical element with symbol Np and atomic number 93
nickel;a chemical element with symbol Ni and atomic number 28
niobium;a chemical element with symbol Nb and atomic number 41
nitrogen;a chemical element with symbol N and atomic number 7
nobelium;a synthetic chemical element with symbol No and atomic number 102
osmium;a chemical element with symbol Os and atomic number 76
oxygen;a chemical element with symbol O and atomic number 8
palladium;a chemical element with symbol Pd and atomic number 46
phosphorus;a chemical element with symbol P and atomic number 15
platinum;a chemical element with symbol Pt and atomic number 78
plutonium;a radioactive chemical element with symbol Pu and atomic number 94
polonium;a chemical element with symbol Po and atomic number 84
potassium;a chemical element with symbol K and atomic number 19
praseodymium;a chemical element with symbol Pr and atomic number 59
promethium;a chemical element with symbol Pm and atomic number 61
protactinium;a chemical element with symbol Pa and atomic number 91
radium;a chemical element with symbol Ra and atomic number 88
radon;a chemical element with symbol Rn and atomic number 86
rhenium;a chemical element with symbol Re and atomic number 75
rhodium;a chemical element with symbol Rh and atomic number 45
rubidium;a chemical element with symbol Rb and atomic number 37
ruthenium;a chemical element with symbol Ru and atomic number 44
samarium;a chemical element with symbol Sm and atomic number 62
scandium;a chemical element with symbol Sc and atomic number 21
selenium;a chemical element with symbol Se and atomic number 34
silicon;a chemical element with symbol Si and atomic number 14
silver;a chemical element with symbol Ag and atomic number 47
sodium;a chemical element with symbol Na and atomic number 11
strontium;a chemical element with symbol Sr and atomic number 38
sulfur;a chemical element with symbol S and atomic number 16
tantalum;a chemical element with symbol Ta and atomic number 73
technetium;a chemical element with symbol Tc and atomic number 43
tellurium;a chemical element with symbol Te and atomic number 52
terbium;a chemical element with symbol Tb and atomic number 65
thallium;a chemical element with symbol Tl and atomic number 81
thorium;a weakly radioactive metallic chemical element with symbol Th and atomic number 90
thulium;a chemical element with symbol Tm and atomic number 69
tin;a chemical element with symbol Sn and atomic number 50
titanium;a chemical element with symbol Ti and atomic number 22
tungsten;a chemical element with symbol W and atomic number 74
uranium;a chemical element with symbol U and atomic number 92
vanadium;a chemical element with symbol V and atomic number 23
xenon;a chemical element with symbol Xe and atomic number 54
ytterbium;a chemical element with symbol Yb and atomic number 70
zinc;a chemical element with symbol Zn and atomic number 30
zirconium;a chemical element with symbol Zr and atomic number 40
aluminium oxide;the natural or synthetic oxide of aluminum, Al2O3, occurring in nature in a pure crystal form as corundum
calcium oxide;a chemical compound, CaO, a colorless, cubic crystalline or white amorphous substance
carbon dioxide;a colorless, odorless, incombustible gas, CO2, present in the atmosphere and formed during respiration
carbon monoxide;a colorless, odorless, poisonous gas, CO, that burns with a pale-blue flame, produced when carbon burns with insufficient air
chlorine dioxide;an orange, water-soluble, unstable, extremely explosive gas, ClO2, used chiefly as a bleaching agent for wood pulp, fats, oils, and flour
dioxide;an oxide containing two atoms of oxygen, each of which is bonded directly to an atom of a second element
hydrogen peroxide;a colorless, unstable, oily liquid, H2O2, an aqueous solution of which is used chiefly as an antiseptic and a bleaching agent
iron oxide;a dark-red, crystalline, water-insoluble solid, Fe2O3, occurring naturally, as hematite and rust, or synthesized
lead oxides;a group of inorganic compounds with formulas including lead (Pb) and oxygen (O)
manganese dioxide;a hard, brittle, grayish-white, metallic element, an oxide of which, MnO2 (manganese dioxide) is a valuable oxidizing agent
manganese (II) oxide;an inorganic compound with chemical formula MnO
oxide;a compound in which oxygen is bonded to one or more electropositive atoms
oxidant;a chemical agent that oxidizes
superoxide;a metallic oxide containing the univalent anion O2-
trioxide;a compound with three oxygen atoms
acid oxide;an oxide that react with water forming an acid
basic oxide ;an oxide that shows basic properties in opposition to acidic oxides
neutral oxide;an oxide which is neither acidic nor basic
calcium carbonate;a white, crystalline, water-insoluble, tasteless powder, CaCO3, occurring in nature in various forms, as calcite, chalk, and limestone
mercuric chloride;a white, tasteless powder, Hg2Cl2, used chiefly as a purgative and fungicide
calcium chloride;a white, lumpy, deliquescent solid, CaCl2, usually derived from calcium carbonate by reaction with hydrochloric acid, or as a by-product of various commercial processes
calcium phosphate;any of several phosphates of calcium occurring naturally in some rocks and in animal bones, used as a fertilizer and food additive as well as in baking powder and dentifrices
calcium sulfate;the inorganic compound with the formula CaSO4 and related hydrates
chromium (II) sulfate;the inorganic compound with the chemical formula CrSO4*nH2O
lead chromate;the inorganic compound with the formula Cr2(SO4)3*x(H2O), where x can range from 0 to 18
normal salt;a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts
potassium nitrate;a crystalline compound, KNO3, produced by nitrification in soil
potassium permanganate;a very dark purple, crystalline, water-soluble solid, KMnO4, used chiefly as an oxidizing agent, disinfectant, laboratory reagent, and in medicine as an astringent and antiseptic
sodium chloride;a crystalline compound, sodium chloride, NaCl, occurring as a mineral, a constituent of seawater
sodium bisulfate;a colorless crystalline compound, NaHSO4
bisulfate;a salt of sulfuric acid, containing the HSO4- group
acid-base indicator;a substance that indicates the degree of acidity or basicity of a solution through characteristic color changes
colorant;something used as a coloring matter
carotene;any of three yellow or orange fat-soluble pigments having the formula C40H56, found in many plants, especially carrots
Congo red;a water-soluble powder, yielding a red colloidal solution
indanthrone blue;an organic dye made from 2-aminoanthraquinone treated with potassium hydroxide in the presence of a potassium salt
Indian red;a pigment composed of naturally occurring iron oxides that is widely used in India
indicator;a substance, as litmus, that indicates the presence or concentration of a certain constituent
iron blue;any of the class of blue pigments having a high tinting strength and ranging in shade and in coloring properties from reddish blue to jet blue
ivory black;a fine black pigment made by calcining ivory
litmus paper;a strip of paper impregnated with litmus, used as a chemical indicator
neutral red;an eurhodin dye used for staining in histology
peacock blue;a lustrous greenish blue, as of certain peacock feathers
Prussian blue;one of the iron blues, a dark-blue, crystalline, water-insoluble pigment
tincture;a dye or pigment.
methyl orange;an orange-yellow, slightly water-soluble powder, used chiefly as an acid-base indicator
alizarin;an organic compound used as a prominent red dye, principally for dyeing textile fabrics
acid-base neutralization;a chemical reaction in which an acid and a base react quantitatively with each other
acidification;"to make or become acid; convert into an acid"
calcination;to convert into calx by heating or burning
carburetion;the process of mixing the vapor of a flammable hydrocarbon with air to form an explosive mixture especially for use in an internal-combustion engine
chain reaction;a sequence of reactions where a reactive product or by-product causes additional reactions to take place
chemical bond;a lasting attraction between atoms, ions or molecules that enables the formation of chemical compounds
chemical equation;a symbolic representation showing the kind and amount of the starting materials and products of a reaction
chemical equilibrium;the state in which both reactants and products are present in concentrations which have no further tendency to change with time
chemical reaction;a process that leads to the transformation of one set of chemical substances to another
chemisorption;a kind of adsorption which involves a chemical reaction between the surface and the adsorbate
combustion;rapid oxidation accompanied by heat and, usually, light
condensation;the act or process of reducing a gas or vapor to a liquid or solid form
condensation reaction;a class of an organic addition reaction that proceeds in a step-wise fashion to produce the addition product
crystallization;a process by which a solid forms, where the atoms or molecules are highly organized into a structure known as a crystal
decomposition;a process by which organic substances are broken down into simpler matter
dehydration;a chemical reaction that involves the loss of a water molecule from the reacting molecule
dehydrogenation;a chemical reaction that involves the removal of hydrogen from an organic molecule
dehumidification;to remove moisture from
destructive distillation;a chemical process of the decomposition of feedstock by heating it to a high temperature
dialysis;the separation of crystalloids from colloids in a solution by diffusion through a membrane
diffusion;a movement of molecules or atoms from a region of high concentration with high chemical potential to a region of low concentration with low chemical potential
dilute solution;a solution that contains limited quantities of solute
displacement;a chemical reaction concerning the exchange of ions
dissociation;a general process in which molecules  separate or split into smaller particles such as atoms, ions or radicals, usually in a reversible manner
double replacement;a chemical process involving the exchange of bonds between two reacting chemical species
endothermic reaction;"a process or reaction in which the system absorbs energy from its surroundings; usually, but not always, in the form of heat"
esterification;a chemical reaction in which two reactants form an ester as the reaction product
extraction;a separation process consisting in the separation of a substance from a matrix
exothermic reaction;"a chemical reaction that releases energy by light or heat; the opposite of an endothermic reaction"
fermentation;a process that consumes sugar in the absence of oxygen
filtration;any of mechanical, physical or biological operations that separate solids from fluids (liquids or gases) by adding a medium through which only the fluid can pass
fission;the subdivision of a cell or multi-cellular body into one or more parts
freezing;the process of being or becoming frozen
hydration;to combine chemically with water
hydrolysis;a chemical process of decomposition involving the splitting of a bond and the addition of the hydrogen cation and the hydroxide anion of water
ionization;the process by which an atom or a molecule acquires a negative or positive charge by gaining or losing electrons to form ions, often in conjunction with other chemical changes
liquefaction;the act or process of liquefying or making liquid
melting;to become liquefied by warmth or heat, as ice, snow, butter, or metal
melting point;the temperature at which substance changes state from solid to liquid at atmospheric pressure
oxidization;the process or result of oxidizing
reactant;any substance that undergoes a chemical change in a given reaction
reaction mechanism;the step by step sequence of elementary reactions by which overall chemical change occurs
reaction rate;the speed at which reactants are converted into products
reaction;the reciprocal action of chemical agents upon each other
reduction;a part of a reduction-oxidation (redox) reaction in which atoms have their oxidation state changed
reduction potential;a measure of the tendency of a chemical species to acquire electrons 
replacement;a chemical reaction concerning the exchange of ions
reversible reaction;a reaction that, depending on ambient conditions, can proceed in either of two directions: the production of the reaction products from the reactants, or the production of the original reactants from the formed reaction products
saponification;the process which the soap is made
single replacement;a reaction by which one (or more) element(s) replaces an/other element(s) in a compound
slow oxidization;a natural process, which converts a refined metal to a more chemically-stable form, such as its oxide, hydroxide, or sulfide
sublimate;the crystals, deposit, or material obtained when a substance is sublimated
sublimation;the phase transition of a substance directly from the solid to the gas phase without passing through the intermediate liquid phase
sublime;to change directly into vapour when heated, typically forming a solid deposit again on cooling
substitution reaction;a chemical reaction during which one functional group in a chemical compound is replaced by another functional group
substrate;the chemical species being observed in a chemical reaction, which is organic in nature and reacts with a reagent to generate a product
surface reaction;reactions in which at least one of the steps of the reaction mechanism is the adsorption of one or more reactants
vaporization;the rapid change of water into steam
volatilize;pass off as vapor
water softening;the removal of calcium, magnesium, and certain other metal cations in hard water
activation energy;the energy which must be available to a chemical system with potential reactants to result in a chemical reaction
activator ;a catalyst
active centre;the region in an enzyme molecule in which the reactive groups that participate in its action are juxtaposed
alpha emission;a form of radioactivity in which alpha particles are emitted from the nucleus of an atom
alpha-particle;a positively charged particle consisting of two protons and two neutrons, emitted in radioactive decay or nuclear fission
alternating current;an electric current which periodically reverses direction, in contrast to direct current which flows only in one direction
catalyst;a substance that causes or accelerates a chemical reaction without itself being affected
cathode;the electrode from which a conventional current leaves a polarized electrical device
cathode ray;a flow of electrons emanating from a cathode in a vacuum tube and focused into a narrow beam
cation;a positively charged ion that is attracted to the cathode in electrolysis
conduction;the transfer of heat between two parts of a stationary system, caused by a temperature difference between the parts
conductivity;the property or power of conducting heat, electricity, or sound
conductor;a substance, body, or device that readily conducts heat, electricity, sound, etc
conservation of charge;the principle that electric charge can neither be created nor destroyed
decay;to change spontaneously into one or more different nuclei in a process in which atomic particles, as alpha particles, are emitted from the nucleus, electrons are captured or lost, or fission takes place
electric current;a flow of electric charge through a conductor
electric conductivity;the reciprocal of electrical resistivity, and measures a material's ability to conduct an electric current
electrochemical;relating to electrochemistry
electrochemical cell;a device capable of either generating electrical energy from chemical reactions or facilitating chemical reactions through the introduction of electrical energy
electrochemistry;the branch of chemistry that deals with the chemical changes produced by electricity and the production of electricity by chemical changes
electrode;a conductor, not necessarily metallic, through which a current enters or leaves a nonmetallic medium, as an electrolytic cell, arc generator, vacuum tube, or gaseous discharge tube
galvanization;to deposit by electrolysis
electrolysis;a technique that uses a direct electric current to drive an otherwise non-spontaneous chemical reaction
electrolyte;a substance that produces an electrically conducting solution when dissolved in a polar solvent, such as water
electrolytic conduction;the conduction of an electrical current by the movement of ions, as in an electrolyte
electrolyze;to decompose by electrolysis
electromotive force;the electrical intensity developed by a source of electrical energy such as a battery or generator
electromotive series ;the measure of individual potential of a reversible electrode at standard state
electronegative;tending to migrate to the positive pole in electrolysis
electronegativity;the tendency of an atom to attract a shared pair of electrons (or electron density) towards itself
electropositive;tending to migrate to the negative pole in electrolysis
electrostatic force;the force between particles that are caused by their electric charges
gamma rays;a photon of penetrating electromagnetic radiation emitted from an atomic nucleus
inhibitor;a substance that decreases the rate of or stops completely a chemical reaction
initiator;a substance that can produce radical species under mild conditions and promote radical reactions
alkane;any member of the alkane series
cykloalkane;the monocyclic saturated hydrocarbon
alkyl group;any of a series of univalent groups of the general formula CnH2n+1 derived from aliphatic hydrocarbons
alkyne;any member of the alkyne series
alkene;any member of the alkene series
butane;a colorless, flammable gas, C4H10, a saturated aliphatic existing in two isometric forms
butene;a pungent colorless gas existing in four isomeric forms, all of which are used in the manufacture of organic compounds, C4H8
1-butyne;an extremely flammable and reactive alkyne, C4H6, used in the synthesis of organic compounds, occurs as a colorless gas
2-butyne;a colorless, volatile, pungent liquid at standard temperature and pressure, C4H6
alkadiene;an acyclic branched or unbranched hydrocarbons having two carbon–carbon double bonds
cyclohexane;a colorless, pungent, flammable liquid, C6H12, composed of a ring of six methylene groups, derived from crude petroleum by distillation or from benzene by hydrogenation
ethyne;a colorless gas, C2H2, having an etherlike odor, produced usually by the action of water on calcium carbide or by pyrolysis of natural gas, also called acetylene
ethylene;a colorless, flammable gas, C2H4, having a sweet, unpleasant odor and taste
ethane;a colorless, odorless, flammable gas, C2H6, of the methane series, present in natural gas, illuminating gas, and crude petroleum
ethyl;containing the ethyl group, as ethyl ether, C4H10O
homocyclic;a cyclic compound that has atoms of the same elements as members of its ring(s)
methane;a colorless, odorless, flammable gas, CH4, the main constituent of marsh gas and the firedamp of coal mines, obtained commercially from natural gas
pentane;an organic compound with the formula C5H12—that is, an alkane with five carbon atoms
propylene;a colorless, flammable gas, C3H6, of the olefin series
methyl group;the univalent group CH3−, derived from methane
ethyl group;the univalent group, C2H5–, derived from ethane
propyl group;any of two univalent, isomeric groups having the formula C3H7-
isopropyl group;the univalent group C3H7 , an isomer of the propyl group
chloromethane;a colorless, poisonous gas, CH3Cl, used chiefly as a refrigerant, as a local anesthetic, and as a methylating agent in organic synthesis
aromatic compound;an organic compound that contains one or more benzene or equivalent heterocyclic rings: many such compounds have an agreeable odor
benzene ring;the graphic representation of the structure of benzene as a hexagon with a carbon atom at each of its points
naphthalene;the simplest polycyclic aromatic hydrocarbon, and is a white crystalline solid with a characteristic odor 
phenol;a white, crystalline, water-soluble, poisonous mass, C6H5OH, obtained from coal tar, or a hydroxyl derivative of benzene
phenolic;any of the class of thermosetting resins formed by the condensation of phenol, or of a phenol derivative, with an aldehyde, especially formaldehyde
toluene;a colorless, water-insoluble liquid with the smell associated with paint thinners
xylene;any one of three isomers of dimethylbenzene
cyclic hydrocarbon;a hydrocarbon that has at least one aromatic ring, also called aren
mixed acid;a mixture of nitric acid and sulfuric acid, used in nitration
nitro group;the univalent group –NO2
benzene;a colorless, volatile, flammable, toxic, slightly water-soluble, liquid, aromatic compound, C6H6, obtained chiefly from coal tar
sulfo group;the univalent group SO3H–, derived from sulfuric acid
anthracene;a solid polycyclic aromatic hydrocarbon consisting of three fused benzene rings
phenanthrene;a polycyclic aromatic hydrocarbon composed of three fused benzene rings
decalin;a bicyclic organic compound
tetralin;a hydrocarbon having the chemical formula C10H12
absolute alcohol;also called ethyl alcohol or ethanol
alcohol;any of a class of chemical compounds having the general formula ROH, where R represents an alkyl group and –OH a hydroxyl group, as in methyl alcohol, CH3OH, or ethyl alcohol, C2H5OH
benzyl alcohol;an aromatic alcohol
butanol;a four-carbon alcohol with a formula of C4H9OH, which occurs in five isomeric structures, from a straight-chain primary alcohol to a branched-chain tertiary alcohol
butyl alcohol;any of four flammable, isomeric, liquid alcohols having the formula C4H9OH, used as solvents and in organic synthesis
ethylene glycol;an organic compound with the formula (CH2OH)2
ethyl alcohol;a colorless, limpid, volatile, flammable, water-miscible liquid, C2H5OH, having an etherlike odor and pungent
industrial alcohol;an ethanol that has additives to make it poisonous, bad tasting, foul smelling or nauseating, to discourage recreational consumption, also called denatured alcohol
hydroxyl group;the univalent group –OH, as in inorganic compounds, such as sodium hydroxide, NaOH, or as in organic compounds, such as ethyl alcohol, C 2 H 6 O
isopropyl alcohol;a colorless, flammable, water-soluble liquid, C3H8O, produced from propylene by the action of sulfuric acid and hydrolysis
methyl alcohol;a colorless, volatile, water-soluble, poisonous liquid, CH4O, obtained by the destructive distillation of wood or the incomplete oxidation of natural gas, or produced synthetically from carbon monoxide and hydrogen, also called methanol
tertiary alcohol;an alcohol containing the trivalent organic radical COH
primary alcohol;an alcohol containing the univalent organic radical CH2OH
secondary alcohol;an alcohol containing the bivalent organic radical CHOH
alkoxide;a compound formed from an alcohol by the replacement of the hydrogen of the hydroxyl group with a metal, as sodium methoxide, CH3ONa, from methyl alcohol, CH3OH
glycol ;a chemical compound containing two hydroxyl groups
acetaldehyde;a volatile, colorless, water-soluble liquid, C2H4O, having a pungent, fruitlike odor, also called ethanal 
benzaldehyde;a colorless or yellowish, water-soluble, volatile oil, C7H6O, having a bitter, almondlike odor, used chiefly in the organic synthesis of dyes, perfumes, and flavors, and as a solvent
formaldehyde;a naturally occurring organic compound, the simplest of the aldehydes, also known by its systematic name methanal
aldehyde;any of a class of organic compounds containing the group −CHO, which yields acids when oxidized and alcohols when reduced
polyformaldehyde;an engineering thermoplastic used in precision parts requiring high stiffness, low friction, and excellent dimensional stability
aldehyde group, formyl;the univalent group HCO–, derived from formic acid
acetone;a colorless, volatile, water-soluble, flammable liquid, C3H6O, usually derived by oxidation of isopropyl alcohol or by bacterial fermentation of carbohydrates
ketone;any of a class of organic compounds having a carbonyl group linked to a carbon atom in each of two hydrocarbon radicals
butanone;a colorless, flammable liquid, C4H8O, produced by synthesis or fermentation
acetophenone;a colorless liquid, C8H8O, having a sweet odor: used chiefly as a scent in the manufacture of perfume
benzophenone;a crystalline, water-insoluble ketone, C13H10O, used in organic synthesis
acyl group;any group or radical of the form RCO- where R is an organic group
benzoic acid;a white, crystalline, slightly water-soluble powder, C7H6O2, usually derived from benzoin or other balsams, or synthesized from phthalic acid or toluene
carbonyl group;the bivalent radical CO, occurring in acids, ketones, aldehydes, and their derivatives
carboxyl group;the univalent radical COOH, present in and characteristic of organic acids
carboxylic acid;any organic acid containing one or more carboxyl groups
citric acid;"a weak water-soluble acid found in many fruits (especially citrus fruits); used as a flavoring agent"
fatty acid;any of a class of aliphatic monocarboxylic acids that form part of a lipid molecule and can be derived from fat by hydrolysis
formic acid;a colorless, irritating, fuming, water-soluble liquid, CH2O2, originally obtained from ants and now manufactured synthetically, used in dyeing and tanning and in medicine chiefly as a counterirritant an astringent
nicotinic acid;an organic compound and is, depending on the definition used, one of the 20 to 80 essential human nutrients, also called niacin
acetic acid;a colorless, pungent, water-miscible liquid, C2H4O2, the essential constituent of vinegar, produced by oxidation of acetaldehyde, bacterial action on ethyl alcohol, the reaction of methyl alcohol with carbon monoxide, and other processes
butanoic acid;a carboxylic acid with the structural formula CH3CH2CH2-COOH
ethanedioic acid;a colorless crystalline solid that forms a colorless solution in water, C2H2O4
palmitic acid;a white, crystalline, water-insoluble solid, C16H32O2, obtained by hydrolysis from palm oil and natural fats, in which it occurs as the glyceride, and from spermaceti
stearic acid;a waxy saturated fatty acid
ester;a compound produced by the reaction between an acid and an alcohol with the elimination of a molecule of water, as ethyl acetate, C4H8O2, or dimethyl sulfate, C2H6SO4
stearin;an ester of glycerol and stearic acid
acid;a molecule or ion capable of donating a hydron (proton or hydrogen ion H+), or, alternatively, capable of forming a covalent bond with an electron pair
acidic;having the properties of an acid, or containing acid
acid anhydride;a compound formed by removing water from a more complex compound: an oxide of a nonmetal or a metal that forms an acid or a base, respectively, when united with water
acid residue;the remainder of an acid molecule after acidic hydrogen has been removed
acidity;the quality or state of being acid
anhydride;a compound formed from one or more other compounds in a reaction resulting in removal of water
anhydrous;with all water removed, especially water of crystallization
boric acid;a white, crystalline acid, H3BO3, occurring in nature or prepared from borax
carbonic acid;the acid, H2CO3, formed when carbon dioxide dissolves in water, known in the form of its salts and esters, the carbonates
chromic acid;a hypothetical acid, H2CrO4, known only in solution or in the form of its salts
hydrochloric acid;a colorless or faintly yellow, corrosive, fuming liquid, HCl, used chiefly in chemical and industrial processes
hydrocyanic acid;a colorless, highly poisonous liquid, HCN, an aqueous solution of hydrogen cyanide
nitric acid;a colorless or yellowish, fuming, suffocating, caustic, corrosive, water-soluble liquid, HNO3, having powerful oxidizing properties
nitric anhydride;the chemical compound with the formula N2O5
nitrous acid;an acid, HNO2, known only in solution
oxygen acid;an inorganic acid containing oxygen
strong acid;an acid that ionizes completely by losing one proton
sulfuric acid;a colorless dense oily corrosive liquid produced by the reaction of sulphur trioxide with water and used in accumulators and in the manufacture of fertilizers, dyes, and explosives, H2SO4
ethyl acetate;a colorless, volatile, flammable liquid, C4H8O2, having a fragrant, fruitlike odor
lipid;an oily organic compound insoluble in water but soluble in organic solvents
triglyceride;an ester obtained from glycerol by the esterification of three hydroxyl groups with fatty acids, naturally occurring in animal and vegetable tissues
saponification value;the number of milligrams of potassium hydroxide required to saponify one gram of a given ester, especially a glyceride
iodine value;the mass of iodine in grams that is consumed by 100 grams of a chemical substance
wax;"any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water"
saturated fat;a fat or oil, from either animal or vegetable sources, containing a high proportion of saturated fatty acids
animal fats;an lipid materials derived from animals
